n,mu,delta,distribution,gen,d_rho,best_rho
50,2,2,uniform1,939,97.8,20.0
50,2,2,poisson,1001,95.8,35.0
50,2,4,uniform1,800,80.3,19.2
50,2,4,poisson,701,78.1,19.2
50,2,8,uniform1,886,73.5,3.0
50,2,8,poisson,657,66.4,6.1
50,16,2,uniform1,2958,102.5,15.0
50,16,2,poisson,3901,102.5,15.0
50,16,4,uniform1,2599,99.3,11.5
50,16,4,poisson,4424,99.5,7.7
50,16,8,uniform1,3506,94.8,0.0
50,16,8,poisson,3581,93.7,3.0
50,32,2,uniform1,3874,102.8,10.0
50,32,2,poisson,4841,102.8,20.0
50,32,4,uniform1,5499,100.4,7.7
50,32,4,poisson,6332,99.7,11.5
50,32,8,uniform1,5854,94.7,3.0
50,32,8,poisson,9054,95.3,3.0
50,64,2,uniform1,5604,102.6,10.0
50,64,2,poisson,6305,102.8,20.0
50,64,4,uniform1,7670,100.1,11.5
50,64,4,poisson,10301,100.2,3.8
50,64,8,uniform1,9480,96.1,3.0
50,64,8,poisson,12250,95.7,3.0
100,2,2,uniform1,1303,95.9,44.4
100,2,2,poisson,1432,87.7,30.6
100,2,4,uniform1,1276,81.2,11.3
100,2,4,poisson,725,72.9,20.8
100,2,8,uniform1,1351,63.0,6.1
100,2,8,poisson,896,54.3,12.1
100,16,2,uniform1,3434,100.3,36.1
100,16,2,poisson,6058,99.6,27.8
100,16,4,uniform1,5590,97.8,9.4
100,16,4,poisson,8066,97.3,9.4
100,16,8,uniform1,6941,86.4,3.0
100,16,8,poisson,5032,82.8,6.1
100,32,2,uniform1,7463,100.4,19.4
100,32,2,poisson,7321,100.1,25.0
100,32,4,uniform1,9971,98.2,7.5
100,32,4,poisson,7723,97.1,7.5
100,32,8,uniform1,7344,86.1,6.1
100,32,8,poisson,9836,84.7,6.1
100,64,2,uniform1,16870,100.5,27.8
100,64,2,poisson,18139,100.4,27.8
100,64,4,uniform1,15155,98.3,3.8
100,64,4,poisson,17812,98.2,3.8
100,64,8,uniform1,17605,87.2,3.0
100,64,8,poisson,27543,87.5,3.0
200,2,2,uniform1,2466,92.9,24.7
200,2,2,poisson,1880,85.9,35.8
200,2,4,uniform1,1578,78.1,12.1
200,2,4,poisson,2008,78.1,10.3
200,2,8,uniform1,2312,61.4,5.3
200,2,8,poisson,2819,64.0,3.8
200,16,2,uniform1,6065,99.3,28.4
200,16,2,poisson,8951,99.1,25.9
200,16,4,uniform1,8320,93.6,12.1
200,16,4,poisson,13224,94.1,12.1
200,16,8,uniform1,11175,83.0,4.6
200,16,8,poisson,10767,80.1,9.2
200,32,2,uniform1,16605,100.2,22.2
200,32,2,poisson,15877,99.7,22.2
200,32,4,uniform1,17022,94.7,8.4
200,32,4,poisson,18886,94.5,10.3
200,32,8,uniform1,18637,83.6,5.3
200,32,8,poisson,14428,80.7,6.9
200,64,2,uniform1,22142,100.1,22.2
200,64,2,poisson,22229,99.8,25.9
200,64,4,uniform1,22490,95.2,8.4
200,64,4,poisson,22278,94.3,10.3
200,64,8,uniform1,23821,83.5,4.6
200,64,8,poisson,24121,82.1,6.1
