n,mu,delta,distribution,mean_vc_overlap,std_vc_overlap,avg_node_degree,avg_node_leaves
50,2,2,uniform1,3.00,0.00,2.07,0.30
50,2,2,poisson,4.00,0.00,2.11,0.30
50,2,8,uniform1,19.00,0.00,8.47,0.00
50,2,8,poisson,22.00,0.00,8.36,0.00
50,16,2,uniform1,13.54,0.70,2.13,0.30
50,16,2,poisson,13.98,0.87,2.13,0.29
50,16,8,uniform1,24.63,0.59,8.25,0.00
50,16,8,poisson,25.07,0.58,8.25,0.00
50,32,2,uniform1,14.19,0.93,2.11,0.30
50,32,2,poisson,14.06,0.60,2.10,0.30
50,32,8,uniform1,24.94,0.46,8.25,0.00
50,32,8,poisson,24.78,0.46,8.22,0.00
50,64,2,uniform1,14.26,0.98,2.11,0.30
50,64,2,poisson,14.23,0.86,2.10,0.30
50,64,8,uniform1,24.88,0.49,8.23,0.00
50,64,8,poisson,25.03,0.44,8.24,0.00
100,2,2,uniform1,6.00,0.00,2.16,0.27
100,2,2,poisson,6.00,0.00,2.33,0.30
100,2,8,uniform1,42.00,0.00,8.44,0.01
100,2,8,poisson,50.00,0.00,8.35,0.01
100,16,2,uniform1,28.54,1.98,2.17,0.27
100,16,2,poisson,27.58,1.35,2.20,0.27
100,16,8,uniform1,50.40,1.00,8.22,0.01
100,16,8,poisson,53.16,0.80,8.24,0.01
100,32,2,uniform1,28.00,2.52,2.16,0.27
100,32,2,poisson,28.26,1.40,2.16,0.28
100,32,8,uniform1,51.15,0.60,8.21,0.01
100,32,8,poisson,51.93,0.66,8.25,0.01
100,64,2,uniform1,28.12,1.77,2.14,0.27
100,64,2,poisson,28.19,1.86,2.15,0.27
100,64,8,uniform1,50.33,0.73,8.24,0.01
100,64,8,poisson,50.13,0.83,8.23,0.01
200,2,2,uniform1,16.00,0.00,2.09,0.27
200,2,2,poisson,26.00,0.00,2.15,0.27
200,2,8,uniform1,82.00,0.00,8.44,0.00
200,2,8,poisson,77.00,0.00,8.50,0.00
200,16,2,uniform1,59.19,2.28,2.09,0.26
200,16,2,poisson,56.51,1.82,2.12,0.27
200,16,8,uniform1,101.13,2.25,8.20,0.00
200,16,8,poisson,105.36,1.34,8.20,0.00
200,32,2,uniform1,56.88,2.20,2.09,0.27
200,32,2,poisson,57.03,1.79,2.11,0.27
200,32,8,uniform1,101.44,1.37,8.22,0.00
200,32,8,poisson,105.82,1.46,8.22,0.00
200,64,2,uniform1,56.93,1.94,2.08,0.27
200,64,2,poisson,58.31,2.02,2.08,0.27
200,64,8,uniform1,101.79,1.45,8.21,0.00
200,64,8,poisson,103.95,1.56,8.21,0.00
