n,mu,alpha,distribution,gen,d_rho,best_rho
50,2,0.05,uniform1,669,34.7,3.6
50,2,0.05,poisson,658,23.9,0.0
50,2,0.5,uniform1,843,78.1,0.0
50,2,0.5,poisson,948,71.6,10.7
50,2,-1,uniform1,800,80.3,19.2
50,2,-1,poisson,701,78.1,19.2
50,16,0.05,uniform1,1026,17.2,0.0
50,16,0.05,poisson,3838,50.7,0.0
50,16,0.5,uniform1,3603,93.3,-3.6
50,16,0.5,poisson,3044,93.1,3.6
50,16,-1,uniform1,2599,99.3,11.5
50,16,-1,poisson,4424,99.5,7.7
50,32,0.05,uniform1,1330,4.1,0.0
50,32,0.05,poisson,1788,6.9,0.0
50,32,0.5,uniform1,5128,93.3,0.0
50,32,0.5,poisson,8036,93.8,7.1
50,32,-1,uniform1,5499,100.4,7.7
50,32,-1,poisson,6332,99.7,11.5
50,64,0.05,uniform1,1274,1.1,0.0
50,64,0.05,poisson,500,0.2,0.0
50,64,0.5,uniform1,5254,93.6,-3.6
50,64,0.5,poisson,9567,93.7,0.0
50,64,-1,uniform1,7670,100.1,11.5
50,64,-1,poisson,10301,100.2,3.8
100,2,0.05,uniform1,405,16.7,7.3
100,2,0.05,poisson,410,17.7,5.5
100,2,0.5,uniform1,1429,79.1,9.1
100,2,0.5,poisson,1597,79.1,0.0
100,2,-1,uniform1,1276,81.2,11.3
100,2,-1,poisson,725,72.9,20.8
100,16,0.05,uniform1,4073,51.6,1.8
100,16,0.05,poisson,2876,37.7,1.8
100,16,0.5,uniform1,5193,94.1,0.0
100,16,0.5,poisson,5309,93.1,7.3
100,16,-1,uniform1,5590,97.8,9.4
100,16,-1,poisson,8066,97.3,9.4
100,32,0.05,uniform1,9614,54.9,-1.8
100,32,0.05,poisson,9184,52.0,1.8
100,32,0.5,uniform1,8088,94.8,5.5
100,32,0.5,poisson,12135,94.7,3.6
100,32,-1,uniform1,9971,98.2,7.5
100,32,-1,poisson,7723,97.1,7.5
100,64,0.05,uniform1,11460,51.5,1.8
100,64,0.05,poisson,9737,51.9,1.8
100,64,0.5,uniform1,17177,94.9,3.6
100,64,0.5,poisson,16671,95.3,3.6
100,64,-1,uniform1,15155,98.3,3.8
100,64,-1,poisson,17812,98.2,3.8
200,2,0.05,uniform1,1058,28.1,4.4
200,2,0.05,poisson,1144,30.6,1.8
200,2,0.5,uniform1,1578,73.5,14.2
200,2,0.5,poisson,2979,76.0,8.0
200,2,-1,uniform1,1578,78.1,12.1
200,2,-1,poisson,2008,78.1,10.3
200,16,0.05,uniform1,6136,47.7,1.8
200,16,0.05,poisson,5396,39.8,1.8
200,16,0.5,uniform1,8111,93.5,9.7
200,16,0.5,poisson,12745,93.5,8.0
200,16,-1,uniform1,8320,93.6,12.1
200,16,-1,poisson,13224,94.1,12.1
200,32,0.05,uniform1,5370,44.8,3.5
200,32,0.05,poisson,11437,43.7,0.9
200,32,0.5,uniform1,13304,94.0,5.3
200,32,0.5,poisson,18376,93.9,5.3
200,32,-1,uniform1,17022,94.7,8.4
200,32,-1,poisson,18886,94.5,10.3
200,64,0.05,uniform1,14975,52.7,0.9
200,64,0.05,poisson,16767,47.8,1.8
200,64,0.5,uniform1,20921,94.3,8.8
200,64,0.5,poisson,21635,93.4,7.1
200,64,-1,uniform1,22490,95.2,8.4
200,64,-1,poisson,22278,94.3,10.3
