[INFO] Module Python/3.10.4 loaded.
Gurobi shell based on Python 3.10.4 can be launched with command `gurobi.sh`
Gurobi Python Interface can be loaded in Python 3.10.4 with 'import gurobipy'
[INFO] Module Gurobi/10.0.0 loaded.
------------------------------------------------------------
SLURM JOB NAME: eva-vc__n-100__mu-16__a-0.05__dist-uniform1__d-8
SLURM JOB ID: 36737291
Running on nodes: ncm0177
Number of CPUs: 8
Started at Fri Jul 14 18:09:59 CEST 2023
------------------------------------------------------------
Set parameter TSPort to value 50039
Set parameter TokenServer to value "license6.itc.rwth-aachen.de"
Set parameter TimeLimit to value 300
Gurobi Optimizer version 10.0.0 build v10.0.0rc2 (linux64)

CPU model: Intel(R) Xeon(R) Platinum 8160 CPU @ 2.10GHz, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 48 physical cores, 48 logical processors, using up to 32 threads

Optimize a model with 400 rows, 100 columns and 800 nonzeros
Model fingerprint: 0xa7da7875
Variable types: 0 continuous, 100 integer (100 binary)
Coefficient statistics:
  Matrix range     [1e+00, 1e+00]
  Objective range  [4e+01, 2e+03]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 1e+00]
Found heuristic solution: objective 85849.000000
Presolve removed 140 rows and 5 columns
Presolve time: 0.01s
Presolved: 260 rows, 95 columns, 601 nonzeros
Found heuristic solution: objective 75986.000000
Variable types: 0 continuous, 95 integer (95 binary)
Found heuristic solution: objective 73455.000000

Root relaxation: objective 6.525050e+04, 133 iterations, 0.00 seconds (0.00 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 65250.5000    0   80 73455.0000 65250.5000  11.2%     -    0s
H    0     0                    72533.000000 65250.5000  10.0%     -    0s
H    0     0                    68694.000000 65250.5000  5.01%     -    0s
     0     0 66268.8333    0   71 68694.0000 66268.8333  3.53%     -    0s
H    0     0                    68693.000000 66784.5000  2.78%     -    0s
     0     0 66784.5000    0   83 68693.0000 66784.5000  2.78%     -    0s
     0     0 66968.5000    0   86 68693.0000 66968.5000  2.51%     -    0s
     0     0 66968.5000    0   81 68693.0000 66968.5000  2.51%     -    0s
     0     0 66968.5000    0   81 68693.0000 66968.5000  2.51%     -    0s
     0     0 67588.0000    0   87 68693.0000 67588.0000  1.61%     -    0s
     0     0 67588.0000    0   87 68693.0000 67588.0000  1.61%     -    0s
     0     2 67588.0000    0   87 68693.0000 67588.0000  1.61%     -    0s
*   32     4               6    68666.000000 68304.8462  0.53%  27.1    0s
*   39     0               7    68665.000000 68510.2222  0.23%  24.1    0s

Cutting planes:
  Gomory: 2
  Clique: 1
  Zero half: 17
  RLT: 13
  BQP: 4

Explored 41 nodes (1256 simplex iterations) in 0.21 seconds (0.04 work units)
Thread count was 32 (of 48 available processors)

Solution count 8: 68665 68666 68693 ... 85849

Optimal solution found (tolerance 1.00e-04)
Best objective 6.866500000000e+04, best bound 6.866500000000e+04, gap 0.0000%
Vertex cover found by the ILP solver:
[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 14, 15, 16, 18, 20, 21, 22, 24, 26, 27, 28, 29, 30, 31, 32, 35, 37, 38, 39, 40, 41, 43, 44, 45, 46, 47, 49, 50, 52, 53, 54, 56, 59, 60, 61, 63, 65, 66, 67, 68, 69, 73, 76, 78, 79, 82, 84, 86, 87, 88, 89, 92, 93, 94, 95, 98]
Number of vertices in the ILP vertex cover:
68
Max mu+1 generations: 160000
Cut-off after 336 same generation fitness values
generation, unique_ind, population_fitness, best_ind_vc_cnt, mean_vc_overlap, std_vc_overlap, avg_node_degree, avg_node_leafes 

Heuristic pop: timeout
0,1,0,68665.0,68.0,0.0,8.6,0.01
1,2,4,68665.0,67.88,0.23,8.6,0.01
2,3,16,68665.0,67.75,0.31,8.6,0.01
3,3,16,68665.0,67.75,0.31,8.6,0.01
4,3,16,68665.0,67.75,0.31,8.6,0.01
5,4,44,68665.0,67.63,0.35,8.6,0.01
6,5,84,68665.0,67.53,0.36,8.6,0.01
7,5,84,68665.0,67.53,0.36,8.6,0.01
8,6,146,68665.0,67.3,0.49,8.6,0.01
9,6,146,68665.0,67.3,0.49,8.6,0.01
10,6,146,68665.0,67.3,0.49,8.6,0.01
11,6,146,68665.0,67.3,0.49,8.6,0.01
12,7,232,68665.0,67.09,0.55,8.59,0.01
13,8,320,68665.0,66.97,0.56,8.59,0.01
14,8,320,68665.0,66.97,0.56,8.59,0.01
15,9,436,68665.0,66.75,0.59,8.6,0.01
16,9,436,68665.0,66.75,0.59,8.6,0.01
17,9,436,68665.0,66.75,0.59,8.6,0.01
18,10,534,68665.0,66.62,0.59,8.6,0.01
19,10,534,68665.0,66.57,0.56,8.6,0.01
20,10,534,68665.0,66.57,0.56,8.6,0.01
21,10,534,68665.0,66.57,0.56,8.6,0.01
22,11,632,68665.0,66.46,0.53,8.61,0.01
23,11,632,68665.0,66.46,0.53,8.61,0.01
24,12,768,68665.0,66.33,0.51,8.61,0.01
25,13,868,68665.0,66.4,0.57,8.6,0.01
26,14,1080,68665.0,66.2,0.56,8.59,0.01
27,15,1268,68665.0,66.11,0.51,8.59,0.01
28,15,1268,68665.0,66.11,0.51,8.59,0.01
29,15,1268,68665.0,66.11,0.51,8.59,0.01
30,15,1268,68665.0,66.11,0.51,8.59,0.01
31,16,1418,68665.0,66.11,0.51,8.59,0.01
32,16,1418,68665.0,66.11,0.51,8.59,0.01
33,16,1418,68665.0,66.11,0.51,8.59,0.01
34,16,1486,69154.0,65.97,0.5,8.59,0.01
35,16,1486,69154.0,65.97,0.5,8.59,0.01
36,16,1486,69154.0,65.97,0.5,8.59,0.01
37,16,1486,69154.0,65.97,0.5,8.59,0.01
38,16,1486,69154.0,65.97,0.5,8.59,0.01
39,16,1486,69154.0,65.97,0.5,8.59,0.01
40,16,1486,69154.0,65.97,0.5,8.59,0.01
41,16,1486,69154.0,65.97,0.5,8.59,0.01
42,16,1486,69154.0,65.97,0.5,8.59,0.01
43,16,1486,69154.0,65.97,0.5,8.59,0.01
44,16,1618,69397.0,65.82,0.5,8.59,0.01
45,16,1618,69397.0,65.82,0.5,8.59,0.01
46,16,1618,69397.0,65.82,0.5,8.59,0.01
47,16,1618,69397.0,65.82,0.5,8.59,0.01
48,16,1752,69599.0,65.6,0.58,8.6,0.01
49,16,1752,69599.0,65.6,0.58,8.6,0.01
50,16,1752,69599.0,65.6,0.58,8.6,0.01
51,16,1752,69599.0,65.6,0.58,8.6,0.01
52,16,1902,69599.0,65.35,0.46,8.59,0.01
53,16,1902,69599.0,65.35,0.46,8.59,0.01
54,16,1902,69599.0,65.35,0.46,8.59,0.01
55,16,1902,69599.0,65.35,0.46,8.59,0.01
56,16,1902,69599.0,65.35,0.46,8.59,0.01
57,16,1902,69599.0,65.35,0.46,8.59,0.01
58,16,1902,69599.0,65.35,0.46,8.59,0.01
59,16,1902,69599.0,65.35,0.46,8.59,0.01
60,16,2010,69599.0,65.25,0.47,8.58,0.01
61,16,2010,69599.0,65.25,0.47,8.58,0.01
62,16,2010,69599.0,65.25,0.47,8.58,0.01
63,16,2010,69599.0,65.25,0.47,8.58,0.01
64,16,2010,69599.0,65.25,0.47,8.58,0.01
65,16,2010,69599.0,65.25,0.47,8.58,0.01
