[INFO] Module Python/3.10.4 loaded.
Gurobi shell based on Python 3.10.4 can be launched with command `gurobi.sh`
Gurobi Python Interface can be loaded in Python 3.10.4 with 'import gurobipy'
[INFO] Module Gurobi/10.0.0 loaded.
------------------------------------------------------------
SLURM JOB NAME: eva-vc__n-100__mu-2__a--1__dist-poisson__d-8
SLURM JOB ID: 36737583
Running on nodes: nrm038
Number of CPUs: 8
Started at Fri Jul 14 18:40:03 CEST 2023
------------------------------------------------------------
Set parameter TSPort to value 50039
Set parameter TokenServer to value "license6.itc.rwth-aachen.de"
Set parameter TimeLimit to value 300
Gurobi Optimizer version 10.0.0 build v10.0.0rc2 (linux64)

CPU model: Intel(R) Xeon(R) Platinum 8160 CPU @ 2.10GHz, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 48 physical cores, 48 logical processors, using up to 32 threads

Optimize a model with 400 rows, 100 columns and 800 nonzeros
Model fingerprint: 0xa97a9fa5
Variable types: 0 continuous, 100 integer (100 binary)
Coefficient statistics:
  Matrix range     [1e+00, 1e+00]
  Objective range  [1e+00, 1e+00]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 1e+00]
Found heuristic solution: objective 73.0000000
Presolve removed 130 rows and 2 columns
Presolve time: 0.01s
Presolved: 270 rows, 98 columns, 620 nonzeros
Variable types: 0 continuous, 98 integer (98 binary)

Root relaxation: objective 6.142105e+01, 213 iterations, 0.00 seconds (0.00 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0   61.42105    0   97   73.00000   61.42105  15.9%     -    0s
H    0     0                      70.0000000   61.42105  12.3%     -    0s
H    0     0                      69.0000000   61.42105  11.0%     -    0s
H    0     0                      66.0000000   61.42105  6.94%     -    0s
     0     0   63.05263    0   98   66.00000   63.05263  4.47%     -    0s
     0     0   63.16667    0   98   66.00000   63.16667  4.29%     -    0s
     0     0   63.16667    0   98   66.00000   63.16667  4.29%     -    0s
     0     0   63.60000    0   97   66.00000   63.60000  3.64%     -    0s
     0     0   63.71429    0   97   66.00000   63.71429  3.46%     -    0s
     0     0   63.76923    0   97   66.00000   63.76923  3.38%     -    0s
     0     0   63.86598    0   96   66.00000   63.86598  3.23%     -    0s
     0     0   63.97674    0   96   66.00000   63.97674  3.07%     -    0s
     0     0   64.00000    0   96   66.00000   64.00000  3.03%     -    0s
     0     0   64.42857    0   97   66.00000   64.42857  2.38%     -    0s
     0     0   64.42857    0   97   66.00000   64.42857  2.38%     -    0s
     0     2   64.42857    0   97   66.00000   64.42857  2.38%     -    0s

Cutting planes:
  Gomory: 4
  Clique: 1
  Zero half: 19
  RLT: 18
  BQP: 9

Explored 48 nodes (1837 simplex iterations) in 0.31 seconds (0.07 work units)
Thread count was 32 (of 48 available processors)

Solution count 4: 66 69 70 73 

Optimal solution found (tolerance 1.00e-04)
Best objective 6.600000000000e+01, best bound 6.600000000000e+01, gap 0.0000%
Vertex cover found by the ILP solver:
[0, 1, 2, 3, 5, 6, 7, 10, 11, 12, 13, 14, 15, 17, 18, 20, 21, 22, 24, 26, 27, 28, 30, 31, 32, 35, 37, 38, 39, 40, 41, 43, 45, 46, 47, 50, 51, 52, 56, 59, 60, 61, 63, 65, 66, 68, 69, 70, 71, 73, 75, 76, 78, 79, 82, 84, 85, 87, 88, 89, 92, 93, 94, 95, 98, 99]
Number of vertices in the ILP vertex cover:
66
Max mu+1 generations: 20000
Cut-off after 336 same generation fitness values
generation, unique_ind, population_fitness, best_ind_vc_cnt, mean_vc_overlap, std_vc_overlap, avg_node_degree, avg_node_leafes 

0,2,4,98,98.0,0.0,7.97,0.01
1,2,4,98,97.0,0.0,7.98,0.01
2,2,4,98,97.0,0.0,8.01,0.01
3,2,6,97,96.0,0.0,7.99,0.01
4,2,8,97,95.0,0.0,8.02,0.01
5,2,10,96,94.0,0.0,8.02,0.01
6,2,14,95,92.0,0.0,8.05,0.01
7,2,20,93,89.0,0.0,8.07,0.01
8,2,22,93,88.0,0.0,8.09,0.01
9,2,24,93,87.0,0.0,8.08,0.01
10,2,30,90,84.0,0.0,8.1,0.01
11,2,30,90,84.0,0.0,8.1,0.01
12,2,30,90,84.0,0.0,8.1,0.01
13,2,30,90,84.0,0.0,8.1,0.01
14,2,30,90,84.0,0.0,8.1,0.01
15,2,32,90,83.0,0.0,8.07,0.01
16,2,36,90,82.0,0.0,8.07,0.01
17,2,36,90,82.0,0.0,8.11,0.01
18,2,38,89,81.0,0.0,8.14,0.01
19,2,40,89,80.0,0.0,8.14,0.01
20,2,40,89,80.0,0.0,8.11,0.01
21,2,40,89,80.0,0.0,8.12,0.01
22,2,42,88,79.0,0.0,8.12,0.01
23,2,42,88,79.0,0.0,8.12,0.01
24,2,42,88,79.0,0.0,8.12,0.01
25,2,44,87,78.0,0.0,8.11,0.01
26,2,44,87,78.0,0.0,8.13,0.01
27,2,48,85,76.0,0.0,8.12,0.01
28,2,48,85,76.0,0.0,8.15,0.01
29,2,50,85,75.0,0.0,8.15,0.01
30,2,50,85,75.0,0.0,8.15,0.01
31,2,52,85,74.0,0.0,8.12,0.01
32,2,52,85,74.0,0.0,8.14,0.01
33,2,52,85,73.0,0.0,8.15,0.01
34,2,52,85,73.0,0.0,8.18,0.01
35,2,52,85,73.0,0.0,8.15,0.01
36,2,54,82,71.0,0.0,8.19,0.01
37,2,54,82,71.0,0.0,8.19,0.01
38,2,54,82,71.0,0.0,8.19,0.01
39,2,54,82,70.0,0.0,8.22,0.01
40,2,54,82,70.0,0.0,8.22,0.01
41,2,54,82,70.0,0.0,8.23,0.01
42,2,54,82,70.0,0.0,8.18,0.01
43,2,58,82,69.0,0.0,8.19,0.01
44,2,60,83,69.0,0.0,8.25,0.01
45,2,60,83,69.0,0.0,8.26,0.01
46,2,62,82,68.0,0.0,8.26,0.01
47,2,64,83,68.0,0.0,8.26,0.01
48,2,66,83,67.0,0.0,8.27,0.01
49,2,66,83,67.0,0.0,8.27,0.01
50,2,66,83,67.0,0.0,8.23,0.01
51,2,66,83,67.0,0.0,8.23,0.01
52,2,66,83,67.0,0.0,8.23,0.01
53,2,68,82,66.0,0.0,8.2,0.01
54,2,68,82,66.0,0.0,8.21,0.01
55,2,68,82,66.0,0.0,8.21,0.01
56,2,68,82,66.0,0.0,8.22,0.01
57,2,68,82,66.0,0.0,8.22,0.01
58,2,68,82,66.0,0.0,8.25,0.01
59,2,68,82,66.0,0.0,8.24,0.01
60,2,68,82,66.0,0.0,8.24,0.01
61,2,68,82,66.0,0.0,8.24,0.01
62,2,68,82,66.0,0.0,8.24,0.01
63,2,68,82,66.0,0.0,8.24,0.01
64,2,68,82,66.0,0.0,8.24,0.01
65,2,68,82,66.0,0.0,8.23,0.01
66,2,68,82,66.0,0.0,8.23,0.01
67,2,68,82,66.0,0.0,8.23,0.01
68,2,68,82,66.0,0.0,8.23,0.01
69,2,68,82,66.0,0.0,8.23,0.01
70,2,68,82,66.0,0.0,8.23,0.01
71,2,68,82,66.0,0.0,8.26,0.01
72,2,68,82,66.0,0.0,8.26,0.01
73,2,68,82,66.0,0.0,8.28,0.01
74,2,68,82,66.0,0.0,8.27,0.01
75,2,68,82,66.0,0.0,8.27,0.01
