[INFO] Module Python/3.10.4 loaded.
Gurobi shell based on Python 3.10.4 can be launched with command `gurobi.sh`
Gurobi Python Interface can be loaded in Python 3.10.4 with 'import gurobipy'
[INFO] Module Gurobi/10.0.0 loaded.
------------------------------------------------------------
SLURM JOB NAME: eva-vc__n-100__mu-2__a--1__dist-uniform2__d-2
SLURM JOB ID: 36736012
Running on nodes: ncm0079
Number of CPUs: 16
Started at Fri Jul 14 16:44:43 CEST 2023
------------------------------------------------------------
Set parameter TSPort to value 50039
Set parameter TokenServer to value "license6.itc.rwth-aachen.de"
Set parameter TimeLimit to value 3600
Gurobi Optimizer version 10.0.0 build v10.0.0rc2 (linux64)

CPU model: Intel(R) Xeon(R) Platinum 8160 CPU @ 2.10GHz, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 48 physical cores, 48 logical processors, using up to 32 threads

Optimize a model with 100 rows, 100 columns and 200 nonzeros
Model fingerprint: 0x502a8053
Variable types: 0 continuous, 100 integer (100 binary)
Coefficient statistics:
  Matrix range     [1e+00, 1e+00]
  Objective range  [1e+00, 1e+00]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 1e+00]
Found heuristic solution: objective 49.0000000
Presolve removed 100 rows and 100 columns
Presolve time: 0.00s
Presolve: All rows and columns removed

Explored 0 nodes (0 simplex iterations) in 0.00 seconds (0.00 work units)
Thread count was 1 (of 48 available processors)

Solution count 2: 36 49 

Optimal solution found (tolerance 1.00e-04)
Best objective 3.600000000000e+01, best bound 3.600000000000e+01, gap 0.0000%
Vertex cover found by the ILP solver:
[1, 3, 4, 7, 8, 10, 22, 23, 25, 26, 27, 28, 31, 32, 37, 39, 40, 41, 42, 43, 46, 51, 57, 58, 59, 60, 62, 68, 69, 73, 75, 76, 86, 88, 90, 96]
Number of vertices in the ILP vertex cover:
36
Max mu+1 generations: 20000
Cut-off after 336 same generation fitness values
generation, unique_ind, population_fitness, best_ind_vc_cnt, mean_vc_overlap, std_vc_overlap, avg_node_degree, avg_node_leafes 

0,2,2,99,99.0,0.0,2.01,0.29
1,2,4,98,98.0,0.0,2.01,0.29
2,2,6,98,97.0,0.0,2.01,0.29
3,2,10,96,95.0,0.0,2.01,0.29
4,2,12,96,94.0,0.0,2.02,0.29
5,2,14,95,93.0,0.0,2.03,0.3
6,2,16,94,92.0,0.0,2.02,0.3
7,2,18,93,91.0,0.0,2.0,0.3
8,2,22,91,89.0,0.0,2.0,0.3
9,2,26,91,87.0,0.0,2.01,0.29
10,2,28,91,86.0,0.0,2.01,0.3
11,2,32,91,84.0,0.0,2.02,0.29
12,2,34,91,83.0,0.0,2.01,0.29
13,2,34,91,83.0,0.0,2.01,0.29
14,2,36,91,82.0,0.0,2.01,0.29
15,2,36,91,82.0,0.0,2.01,0.29
16,2,40,89,80.0,0.0,2.01,0.29
17,2,44,89,78.0,0.0,2.01,0.29
18,2,44,89,78.0,0.0,2.01,0.29
19,2,44,89,78.0,0.0,2.02,0.29
20,2,46,88,77.0,0.0,2.03,0.29
21,2,48,88,76.0,0.0,2.03,0.28
22,2,52,86,74.0,0.0,2.02,0.29
23,2,52,86,74.0,0.0,2.02,0.29
24,2,56,86,72.0,0.0,2.04,0.28
25,2,58,85,71.0,0.0,2.05,0.28
26,2,58,85,71.0,0.0,2.05,0.28
27,2,58,85,71.0,0.0,2.05,0.28
28,2,62,84,69.0,0.0,2.07,0.28
29,2,62,84,69.0,0.0,2.07,0.28
30,2,64,83,68.0,0.0,2.08,0.28
31,2,66,82,67.0,0.0,2.06,0.28
32,2,68,82,66.0,0.0,2.05,0.28
33,2,68,80,65.0,0.0,2.04,0.28
34,2,68,80,65.0,0.0,2.04,0.28
35,2,70,79,64.0,0.0,2.06,0.28
36,2,74,77,62.0,0.0,2.04,0.28
37,2,74,77,62.0,0.0,2.04,0.28
38,2,76,77,61.0,0.0,2.03,0.28
39,2,76,77,61.0,0.0,2.03,0.28
40,2,78,76,60.0,0.0,2.04,0.28
41,2,80,76,59.0,0.0,2.04,0.29
