[INFO] Module Python/3.10.4 loaded.
Gurobi shell based on Python 3.10.4 can be launched with command `gurobi.sh`
Gurobi Python Interface can be loaded in Python 3.10.4 with 'import gurobipy'
[INFO] Module Gurobi/10.0.0 loaded.
------------------------------------------------------------
SLURM JOB NAME: eva-vc__n-100__mu-2__a-0.5__dist-poisson__d-2
SLURM JOB ID: 36737585
Running on nodes: nrm038
Number of CPUs: 8
Started at Fri Jul 14 18:40:03 CEST 2023
------------------------------------------------------------
Set parameter TSPort to value 50039
Set parameter TokenServer to value "license6.itc.rwth-aachen.de"
Set parameter TimeLimit to value 300
Gurobi Optimizer version 10.0.0 build v10.0.0rc2 (linux64)

CPU model: Intel(R) Xeon(R) Platinum 8160 CPU @ 2.10GHz, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 48 physical cores, 48 logical processors, using up to 32 threads

Optimize a model with 100 rows, 100 columns and 200 nonzeros
Model fingerprint: 0xbc16cdf0
Variable types: 0 continuous, 100 integer (100 binary)
Coefficient statistics:
  Matrix range     [1e+00, 1e+00]
  Objective range  [2e+01, 2e+03]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 1e+00]
Found heuristic solution: objective 44670.000000
Presolve removed 91 rows and 92 columns
Presolve time: 0.00s
Presolved: 9 rows, 8 columns, 18 nonzeros
Found heuristic solution: objective 28054.000000
Variable types: 0 continuous, 8 integer (8 binary)

Root relaxation: cutoff, 6 iterations, 0.00 seconds (0.00 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0     cutoff    0      28054.0000 28054.0000  0.00%     -    0s

Explored 1 nodes (6 simplex iterations) in 0.01 seconds (0.00 work units)
Thread count was 32 (of 48 available processors)

Solution count 2: 28054 44670 

Optimal solution found (tolerance 1.00e-04)
Best objective 2.805400000000e+04, best bound 2.805400000000e+04, gap 0.0000%
Vertex cover found by the ILP solver:
[3, 4, 6, 7, 8, 10, 22, 23, 24, 25, 26, 27, 28, 32, 37, 39, 40, 41, 43, 46, 51, 57, 58, 60, 62, 65, 68, 69, 73, 75, 76, 86, 88, 90, 96, 97]
Number of vertices in the ILP vertex cover:
36
Max mu+1 generations: 20000
Cut-off after 336 same generation fitness values
generation, unique_ind, population_fitness, best_ind_vc_cnt, mean_vc_overlap, std_vc_overlap, avg_node_degree, avg_node_leafes 

0,2,6,38216.0,54.0,0.0,2.71,0.22
1,2,14,38216.0,52.0,0.0,2.75,0.2
2,2,16,38216.0,51.0,0.0,2.76,0.19
3,2,16,37865.0,51.0,0.0,2.77,0.19
4,2,26,38216.0,48.0,0.0,2.75,0.19
5,2,26,38216.0,48.0,0.0,2.75,0.19
6,2,26,38216.0,48.0,0.0,2.75,0.19
7,2,28,37269.0,47.0,0.0,2.75,0.19
8,2,36,38483.0,45.0,0.0,2.73,0.2
9,2,36,38483.0,45.0,0.0,2.73,0.2
10,2,36,37119.0,44.0,0.0,2.73,0.21
11,2,38,37119.0,43.0,0.0,2.71,0.22
12,2,42,37119.0,42.0,0.0,2.71,0.22
13,2,42,36553.0,41.0,0.0,2.73,0.21
14,2,42,36553.0,41.0,0.0,2.73,0.21
15,2,48,39032.0,40.0,0.0,2.65,0.22
16,2,48,39032.0,40.0,0.0,2.65,0.22
17,2,52,39032.0,39.0,0.0,2.66,0.22
18,2,54,39032.0,38.0,0.0,2.67,0.22
19,2,54,39764.0,38.0,0.0,2.67,0.22
20,2,54,39764.0,38.0,0.0,2.67,0.22
21,2,54,39994.0,38.0,0.0,2.72,0.22
22,2,54,39994.0,38.0,0.0,2.72,0.22
23,2,54,39994.0,38.0,0.0,2.72,0.22
24,2,54,39994.0,38.0,0.0,2.72,0.22
25,2,54,39994.0,38.0,0.0,2.72,0.22
26,2,54,39994.0,38.0,0.0,2.72,0.22
27,2,54,39994.0,38.0,0.0,2.72,0.22
28,2,54,39994.0,38.0,0.0,2.72,0.22
29,2,54,39994.0,38.0,0.0,2.72,0.22
30,2,58,39283.0,36.0,0.0,2.76,0.2
31,2,58,39283.0,36.0,0.0,2.76,0.2
32,2,58,39283.0,36.0,0.0,2.76,0.2
33,2,60,40202.0,36.0,0.0,2.76,0.19
34,2,60,40202.0,36.0,0.0,2.76,0.19
35,2,62,40202.0,35.0,0.0,2.77,0.2
36,2,62,40202.0,35.0,0.0,2.77,0.2
37,2,62,40202.0,35.0,0.0,2.77,0.2
38,2,62,40202.0,35.0,0.0,2.77,0.2
39,2,62,40202.0,35.0,0.0,2.77,0.2
40,2,62,40202.0,35.0,0.0,2.77,0.2
41,2,62,40202.0,35.0,0.0,2.77,0.2
42,2,62,40202.0,35.0,0.0,2.77,0.2
43,2,62,40202.0,35.0,0.0,2.77,0.2
44,2,62,40202.0,35.0,0.0,2.77,0.2
45,2,62,40900.0,35.0,0.0,2.8,0.2
46,2,62,40900.0,35.0,0.0,2.8,0.2
47,2,66,41323.0,34.0,0.0,2.78,0.21
48,2,66,41323.0,34.0,0.0,2.78,0.21
49,2,66,41323.0,34.0,0.0,2.78,0.21
50,2,76,41170.0,31.0,0.0,2.75,0.22
51,2,82,39681.0,29.0,0.0,2.74,0.23
52,2,82,39681.0,29.0,0.0,2.74,0.23
53,2,82,39681.0,29.0,0.0,2.74,0.23
54,2,82,39681.0,29.0,0.0,2.74,0.23
55,2,82,39681.0,29.0,0.0,2.74,0.23
56,2,82,39681.0,29.0,0.0,2.74,0.23
57,2,82,39681.0,29.0,0.0,2.74,0.23
58,2,84,39681.0,28.0,0.0,2.76,0.22
59,2,84,39681.0,28.0,0.0,2.76,0.22
60,2,84,39681.0,28.0,0.0,2.76,0.22
61,2,84,39681.0,28.0,0.0,2.76,0.22
62,2,84,39690.0,28.0,0.0,2.71,0.22
63,2,84,39690.0,28.0,0.0,2.71,0.22
64,2,84,39690.0,28.0,0.0,2.71,0.22
65,2,84,39690.0,28.0,0.0,2.71,0.22
66,2,86,39026.0,27.0,0.0,2.72,0.23
67,2,90,39026.0,26.0,0.0,2.7,0.24
68,2,90,39026.0,26.0,0.0,2.7,0.24
69,2,90,39026.0,26.0,0.0,2.7,0.24
70,2,90,39026.0,26.0,0.0,2.7,0.24
71,2,90,39026.0,26.0,0.0,2.7,0.24
72,2,92,38533.0,25.0,0.0,2.72,0.23
73,2,96,38533.0,24.0,0.0,2.69,0.24
74,2,96,38533.0,24.0,0.0,2.69,0.24
75,2,96,38533.0,24.0,0.0,2.69,0.24
76,2,96,37739.0,24.0,0.0,2.72,0.24
77,2,96,37739.0,24.0,0.0,2.72,0.24
78,2,96,37739.0,24.0,0.0,2.72,0.24
79,2,96,37739.0,24.0,0.0,2.72,0.24
80,2,96,37739.0,24.0,0.0,2.72,0.24
81,2,96,37739.0,24.0,0.0,2.72,0.24
82,2,100,40854.0,24.0,0.0,2.69,0.24
83,2,100,40854.0,24.0,0.0,2.69,0.24
84,2,100,40854.0,24.0,0.0,2.69,0.24
85,2,100,40854.0,24.0,0.0,2.69,0.24
86,2,100,40854.0,24.0,0.0,2.69,0.24
87,2,100,40854.0,24.0,0.0,2.69,0.24
88,2,100,40854.0,24.0,0.0,2.69,0.24
89,2,100,39751.0,23.0,0.0,2.73,0.22
90,2,100,39751.0,23.0,0.0,2.73,0.22
91,2,100,39751.0,23.0,0.0,2.73,0.22
92,2,100,39751.0,23.0,0.0,2.73,0.22
93,2,100,39751.0,23.0,0.0,2.73,0.22
