[INFO] Module Python/3.10.4 loaded.
Gurobi shell based on Python 3.10.4 can be launched with command `gurobi.sh`
Gurobi Python Interface can be loaded in Python 3.10.4 with 'import gurobipy'
[INFO] Module Gurobi/10.0.0 loaded.
------------------------------------------------------------
SLURM JOB NAME: eva-vc__n-100__mu-32__a--1__dist-poisson__d-2
SLURM JOB ID: 36737590
Running on nodes: nrm091
Number of CPUs: 8
Started at Fri Jul 14 18:40:03 CEST 2023
------------------------------------------------------------
Set parameter TSPort to value 50039
Set parameter TokenServer to value "license6.itc.rwth-aachen.de"
Set parameter TimeLimit to value 300
Gurobi Optimizer version 10.0.0 build v10.0.0rc2 (linux64)

CPU model: Intel(R) Xeon(R) Platinum 8160 CPU @ 2.10GHz, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 48 physical cores, 48 logical processors, using up to 32 threads

Optimize a model with 100 rows, 100 columns and 200 nonzeros
Model fingerprint: 0x502a8053
Variable types: 0 continuous, 100 integer (100 binary)
Coefficient statistics:
  Matrix range     [1e+00, 1e+00]
  Objective range  [1e+00, 1e+00]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 1e+00]
Found heuristic solution: objective 49.0000000
Presolve removed 100 rows and 100 columns
Presolve time: 0.00s
Presolve: All rows and columns removed

Explored 0 nodes (0 simplex iterations) in 0.01 seconds (0.00 work units)
Thread count was 1 (of 48 available processors)

Solution count 2: 36 49 

Optimal solution found (tolerance 1.00e-04)
Best objective 3.600000000000e+01, best bound 3.600000000000e+01, gap 0.0000%
Vertex cover found by the ILP solver:
[1, 3, 4, 7, 8, 10, 22, 23, 25, 26, 27, 28, 31, 32, 37, 39, 40, 41, 42, 43, 46, 51, 57, 58, 59, 60, 62, 68, 69, 73, 75, 76, 86, 88, 90, 96]
Number of vertices in the ILP vertex cover:
36
Max mu+1 generations: 320000
Cut-off after 336 same generation fitness values
generation, unique_ind, population_fitness, best_ind_vc_cnt, mean_vc_overlap, std_vc_overlap, avg_node_degree, avg_node_leafes 

0,2,4,98,99.88,0.34,2.0,0.29
1,3,20,97,99.69,0.6,2.0,0.29
2,4,38,97,99.56,0.67,2.0,0.29
3,5,88,95,99.25,1.04,2.0,0.29
4,6,122,95,99.19,1.04,2.0,0.29
5,7,160,95,99.13,1.04,2.0,0.29
6,8,216,95,99.0,1.07,2.0,0.29
7,9,332,94,98.64,1.4,2.0,0.29
8,10,430,94,98.45,1.45,2.01,0.29
9,11,556,94,98.2,1.54,2.01,0.29
10,12,636,94,98.14,1.53,2.01,0.29
11,13,752,94,97.96,1.55,2.01,0.29
12,14,844,94,97.9,1.54,2.01,0.29
13,15,964,94,97.77,1.53,2.01,0.29
14,16,1096,94,97.65,1.53,2.01,0.29
15,17,1264,94,97.46,1.54,2.01,0.29
16,18,1504,94,97.16,1.64,2.01,0.29
17,19,1856,92,96.67,1.93,2.01,0.29
18,20,2040,92,96.54,1.91,2.01,0.29
19,21,2220,92,96.43,1.89,2.01,0.29
20,22,2454,92,96.24,1.87,2.01,0.29
21,23,2656,92,96.12,1.84,2.01,0.29
22,24,2900,92,95.94,1.81,2.01,0.29
23,25,3204,92,95.7,1.8,2.01,0.29
24,26,3666,92,95.28,1.92,2.01,0.29
25,27,3872,92,95.22,1.89,2.01,0.29
26,28,4116,92,95.1,1.85,2.01,0.29
27,29,4384,92,94.98,1.81,2.01,0.29
28,30,4706,92,94.8,1.76,2.01,0.29
29,31,5100,92,94.56,1.72,2.02,0.29
30,32,5502,92,94.32,1.66,2.02,0.29
31,32,5776,92,94.03,1.61,2.02,0.29
32,32,5946,92,93.85,1.57,2.02,0.29
33,32,6116,92,93.67,1.53,2.02,0.29
34,32,6324,92,93.44,1.51,2.01,0.29
35,32,6574,92,93.16,1.5,2.02,0.29
36,32,6952,92,92.75,1.6,2.02,0.29
37,32,7152,92,92.52,1.59,2.01,0.29
38,32,7430,92,92.22,1.64,2.02,0.29
39,32,7704,92,91.93,1.66,2.02,0.29
40,32,7804,92,91.82,1.62,2.02,0.29
