[INFO] Module Python/3.10.4 loaded.
Gurobi shell based on Python 3.10.4 can be launched with command `gurobi.sh`
Gurobi Python Interface can be loaded in Python 3.10.4 with 'import gurobipy'
[INFO] Module Gurobi/10.0.0 loaded.
------------------------------------------------------------
SLURM JOB NAME: eva-vc__n-100__mu-32__a-0.05__dist-poisson__d-8
SLURM JOB ID: 36737293
Running on nodes: ncm0585
Number of CPUs: 8
Started at Fri Jul 14 18:09:59 CEST 2023
------------------------------------------------------------
Set parameter TSPort to value 50039
Set parameter TokenServer to value "license6.itc.rwth-aachen.de"
Set parameter TimeLimit to value 300
Gurobi Optimizer version 10.0.0 build v10.0.0rc2 (linux64)

CPU model: Intel(R) Xeon(R) Platinum 8160 CPU @ 2.10GHz, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 48 physical cores, 48 logical processors, using up to 32 threads

Optimize a model with 400 rows, 100 columns and 800 nonzeros
Model fingerprint: 0xa7da7875
Variable types: 0 continuous, 100 integer (100 binary)
Coefficient statistics:
  Matrix range     [1e+00, 1e+00]
  Objective range  [4e+01, 2e+03]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 1e+00]
Found heuristic solution: objective 85849.000000
Presolve removed 140 rows and 5 columns
Presolve time: 0.00s
Presolved: 260 rows, 95 columns, 601 nonzeros
Found heuristic solution: objective 75986.000000
Variable types: 0 continuous, 95 integer (95 binary)
Found heuristic solution: objective 73455.000000

Root relaxation: objective 6.525050e+04, 133 iterations, 0.00 seconds (0.00 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 65250.5000    0   80 73455.0000 65250.5000  11.2%     -    0s
H    0     0                    72533.000000 65250.5000  10.0%     -    0s
H    0     0                    68694.000000 65250.5000  5.01%     -    0s
     0     0 66268.8333    0   71 68694.0000 66268.8333  3.53%     -    0s
H    0     0                    68693.000000 66784.5000  2.78%     -    0s
     0     0 66784.5000    0   83 68693.0000 66784.5000  2.78%     -    0s
     0     0 66968.5000    0   86 68693.0000 66968.5000  2.51%     -    0s
     0     0 66968.5000    0   81 68693.0000 66968.5000  2.51%     -    0s
     0     0 66968.5000    0   81 68693.0000 66968.5000  2.51%     -    0s
     0     0 67588.0000    0   87 68693.0000 67588.0000  1.61%     -    0s
     0     0 67588.0000    0   87 68693.0000 67588.0000  1.61%     -    0s
     0     2 67588.0000    0   87 68693.0000 67588.0000  1.61%     -    0s
*   32     4               6    68666.000000 68304.8462  0.53%  27.1    0s
*   39     0               7    68665.000000 68510.2222  0.23%  24.1    0s

Cutting planes:
  Gomory: 2
  Clique: 1
  Zero half: 17
  RLT: 13
  BQP: 4

Explored 41 nodes (1256 simplex iterations) in 0.21 seconds (0.04 work units)
Thread count was 32 (of 48 available processors)

Solution count 8: 68665 68666 68693 ... 85849

Optimal solution found (tolerance 1.00e-04)
Best objective 6.866500000000e+04, best bound 6.866500000000e+04, gap 0.0000%
Vertex cover found by the ILP solver:
[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 14, 15, 16, 18, 20, 21, 22, 24, 26, 27, 28, 29, 30, 31, 32, 35, 37, 38, 39, 40, 41, 43, 44, 45, 46, 47, 49, 50, 52, 53, 54, 56, 59, 60, 61, 63, 65, 66, 67, 68, 69, 73, 76, 78, 79, 82, 84, 86, 87, 88, 89, 92, 93, 94, 95, 98]
Number of vertices in the ILP vertex cover:
68
Max mu+1 generations: 320000
Cut-off after 336 same generation fitness values
generation, unique_ind, population_fitness, best_ind_vc_cnt, mean_vc_overlap, std_vc_overlap, avg_node_degree, avg_node_leafes 

Heuristic pop: timeout
0,2,6,68665.0,67.94,0.17,8.6,0.01
1,2,6,68665.0,67.94,0.17,8.6,0.01
2,2,6,68665.0,67.94,0.17,8.6,0.01
3,2,6,68665.0,67.94,0.17,8.6,0.01
4,2,6,68665.0,67.94,0.17,8.6,0.01
5,2,6,68665.0,67.94,0.17,8.6,0.01
6,2,6,68665.0,67.94,0.17,8.6,0.01
7,3,24,68665.0,67.88,0.23,8.6,0.01
8,3,24,68665.0,67.88,0.23,8.6,0.01
9,3,24,68665.0,67.88,0.23,8.6,0.01
10,4,48,68665.0,67.81,0.28,8.6,0.01
11,4,48,68665.0,67.81,0.28,8.6,0.01
12,4,48,68665.0,67.81,0.28,8.6,0.01
13,4,48,68665.0,67.81,0.28,8.6,0.01
14,4,48,68665.0,67.81,0.28,8.6,0.01
15,4,48,68665.0,67.81,0.28,8.6,0.01
16,5,88,68665.0,67.75,0.32,8.6,0.01
17,6,130,68665.0,67.75,0.32,8.6,0.01
18,7,176,68665.0,67.69,0.35,8.61,0.01
19,7,176,68665.0,67.69,0.35,8.61,0.01
20,8,248,68665.0,67.63,0.37,8.61,0.01
21,8,248,68665.0,67.63,0.37,8.61,0.01
22,9,348,68665.0,67.56,0.4,8.61,0.01
23,9,348,68665.0,67.56,0.4,8.61,0.01
24,9,348,68665.0,67.56,0.4,8.61,0.01
25,9,348,68665.0,67.56,0.4,8.61,0.01
26,9,348,68665.0,67.56,0.4,8.61,0.01
27,9,348,68665.0,67.56,0.4,8.61,0.01
28,10,506,68665.0,67.45,0.48,8.6,0.01
29,10,506,68665.0,67.45,0.48,8.6,0.01
30,10,506,68665.0,67.45,0.48,8.6,0.01
31,10,506,68665.0,67.39,0.49,8.6,0.01
32,10,506,68665.0,67.39,0.49,8.6,0.01
33,10,506,68665.0,67.39,0.49,8.6,0.01
34,10,506,68665.0,67.33,0.49,8.61,0.01
35,10,506,68665.0,67.33,0.49,8.61,0.01
36,10,506,68665.0,67.33,0.49,8.61,0.01
37,10,506,68665.0,67.33,0.49,8.61,0.01
38,10,506,68665.0,67.33,0.49,8.61,0.01
39,10,506,68665.0,67.33,0.49,8.61,0.01
40,10,506,68665.0,67.33,0.49,8.61,0.01
41,10,506,68665.0,67.33,0.49,8.61,0.01
42,11,736,68665.0,67.1,0.74,8.61,0.01
43,11,736,68665.0,67.1,0.74,8.61,0.01
44,11,736,68665.0,67.1,0.74,8.61,0.01
45,11,736,68665.0,67.1,0.74,8.61,0.01
46,11,736,68665.0,67.1,0.74,8.61,0.01
47,11,736,68665.0,67.1,0.74,8.61,0.01
48,12,914,68665.0,66.99,0.75,8.61,0.01
49,13,1032,68665.0,67.0,0.75,8.61,0.01
50,13,1032,68665.0,67.0,0.75,8.61,0.01
51,13,1032,68665.0,67.0,0.75,8.61,0.01
52,13,1032,68665.0,67.0,0.75,8.61,0.01
53,14,1266,68665.0,66.89,0.78,8.61,0.01
54,14,1266,68665.0,66.89,0.78,8.61,0.01
55,14,1266,68665.0,66.89,0.78,8.61,0.01
56,14,1266,68665.0,66.89,0.78,8.61,0.01
57,14,1266,68665.0,66.89,0.78,8.61,0.01
58,14,1266,68665.0,66.89,0.78,8.61,0.01
59,14,1266,68665.0,66.89,0.78,8.61,0.01
60,14,1266,68665.0,66.89,0.78,8.61,0.01
61,14,1266,68665.0,66.89,0.78,8.61,0.01
62,14,1266,68665.0,66.89,0.78,8.61,0.01
63,15,1428,68665.0,66.82,0.78,8.61,0.01
64,15,1428,68665.0,66.82,0.78,8.61,0.01
65,15,1428,68665.0,66.82,0.78,8.61,0.01
66,15,1428,68665.0,66.82,0.78,8.61,0.01
