[INFO] Module Python/3.10.4 loaded.
Gurobi shell based on Python 3.10.4 can be launched with command `gurobi.sh`
Gurobi Python Interface can be loaded in Python 3.10.4 with 'import gurobipy'
[INFO] Module Gurobi/10.0.0 loaded.
------------------------------------------------------------
SLURM JOB NAME: eva-vc__n-100__mu-64__a-0.05__dist-uniform1__d-2
SLURM JOB ID: 36799814
Running on nodes: ncm1017
Number of CPUs: 8
Started at Sun Jul 16 13:22:28 CEST 2023
------------------------------------------------------------
Set parameter TSPort to value 50039
Set parameter TokenServer to value "license6.itc.rwth-aachen.de"
Set parameter TimeLimit to value 300
Gurobi Optimizer version 10.0.0 build v10.0.0rc2 (linux64)

CPU model: Intel(R) Xeon(R) Platinum 8160 CPU @ 2.10GHz, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 48 physical cores, 48 logical processors, using up to 32 threads

Optimize a model with 100 rows, 100 columns and 200 nonzeros
Model fingerprint: 0xbc16cdf0
Variable types: 0 continuous, 100 integer (100 binary)
Coefficient statistics:
  Matrix range     [1e+00, 1e+00]
  Objective range  [2e+01, 2e+03]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 1e+00]
Found heuristic solution: objective 44670.000000
Presolve removed 91 rows and 92 columns
Presolve time: 0.00s
Presolved: 9 rows, 8 columns, 18 nonzeros
Found heuristic solution: objective 28054.000000
Variable types: 0 continuous, 8 integer (8 binary)

Root relaxation: cutoff, 6 iterations, 0.00 seconds (0.00 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0     cutoff    0      28054.0000 28054.0000  0.00%     -    0s

Explored 1 nodes (6 simplex iterations) in 0.08 seconds (0.00 work units)
Thread count was 32 (of 48 available processors)

Solution count 2: 28054 44670 

Optimal solution found (tolerance 1.00e-04)
Best objective 2.805400000000e+04, best bound 2.805400000000e+04, gap 0.0000%
Vertex cover found by the ILP solver:
[3, 4, 6, 7, 8, 10, 22, 23, 24, 25, 26, 27, 28, 32, 37, 39, 40, 41, 43, 46, 51, 57, 58, 60, 62, 65, 68, 69, 73, 75, 76, 86, 88, 90, 96, 97]
Number of vertices in the ILP vertex cover:
36
Max mu+1 generations: 640000
Cut-off after 336 same generation fitness values
generation, unique_ind, population_fitness, best_ind_vc_cnt, mean_vc_overlap, std_vc_overlap, avg_node_degree, avg_node_leafes 

Heuristic pop: timeout
0,2,4,28054.0,35.97,0.12,3.28,0.11
1,2,4,28054.0,35.94,0.17,3.28,0.11
2,3,16,28054.0,35.91,0.2,3.28,0.11
3,3,16,28054.0,35.91,0.2,3.28,0.11
4,3,16,28054.0,35.91,0.2,3.28,0.11
5,3,16,28054.0,35.91,0.2,3.28,0.11
6,4,42,28054.0,35.88,0.23,3.28,0.11
7,5,72,28054.0,35.84,0.26,3.27,0.11
8,5,72,28054.0,35.84,0.26,3.27,0.11
9,5,72,28054.0,35.84,0.26,3.27,0.11
10,5,72,28054.0,35.84,0.26,3.27,0.11
11,6,130,28054.0,35.81,0.28,3.27,0.11
12,7,180,28054.0,35.78,0.3,3.27,0.11
13,7,180,28054.0,35.78,0.3,3.27,0.11
14,8,238,28054.0,35.75,0.32,3.27,0.11
15,8,238,28054.0,35.75,0.32,3.27,0.11
16,8,238,28054.0,35.72,0.34,3.27,0.11
17,8,238,28054.0,35.72,0.34,3.27,0.11
18,8,238,28054.0,35.69,0.35,3.27,0.11
19,8,238,28054.0,35.66,0.36,3.27,0.11
20,8,238,28054.0,35.66,0.36,3.27,0.11
21,9,320,28054.0,35.63,0.37,3.27,0.11
22,9,320,28054.0,35.63,0.37,3.27,0.11
23,9,320,28054.0,35.6,0.38,3.27,0.11
24,9,320,28054.0,35.6,0.38,3.27,0.11
25,9,320,28054.0,35.6,0.38,3.27,0.11
26,10,452,28054.0,35.55,0.42,3.27,0.11
27,10,452,28054.0,35.55,0.42,3.27,0.11
28,10,452,28054.0,35.55,0.42,3.27,0.11
29,10,452,28054.0,35.55,0.42,3.27,0.11
30,11,544,28054.0,35.52,0.43,3.27,0.11
31,12,644,28054.0,35.48,0.44,3.27,0.11
32,12,644,28054.0,35.48,0.44,3.27,0.11
33,12,644,28054.0,35.48,0.44,3.27,0.11
34,12,644,28054.0,35.48,0.44,3.27,0.11
35,13,752,28054.0,35.45,0.45,3.27,0.11
36,13,752,28054.0,35.45,0.45,3.27,0.11
37,13,752,28054.0,35.42,0.45,3.27,0.11
38,13,752,28054.0,35.42,0.45,3.27,0.11
39,13,752,28054.0,35.39,0.46,3.27,0.11
40,14,904,28054.0,35.33,0.49,3.26,0.11
41,15,1060,28054.0,35.3,0.5,3.26,0.12
42,15,1060,28054.0,35.3,0.5,3.26,0.12
43,16,1228,28054.0,35.27,0.5,3.26,0.12
44,16,1228,28054.0,35.27,0.5,3.26,0.12
45,16,1228,28054.0,35.24,0.51,3.26,0.12
46,16,1228,28054.0,35.22,0.5,3.26,0.12
47,16,1228,28054.0,35.22,0.5,3.26,0.12
48,16,1228,28054.0,35.22,0.5,3.26,0.12
49,17,1452,28054.0,35.16,0.53,3.26,0.12
50,17,1452,28054.0,35.13,0.53,3.26,0.12
51,18,1658,28054.0,35.07,0.55,3.26,0.12
52,19,1844,28054.0,35.04,0.55,3.26,0.12
53,20,2122,28054.0,34.99,0.57,3.26,0.12
54,20,2122,28054.0,34.99,0.57,3.26,0.12
55,20,2122,28054.0,34.99,0.57,3.26,0.12
56,21,2416,28054.0,34.94,0.58,3.26,0.12
57,21,2416,28054.0,34.94,0.58,3.26,0.12
58,21,2416,28054.0,34.91,0.57,3.26,0.12
59,21,2416,28054.0,34.88,0.57,3.26,0.12
60,21,2416,28054.0,34.88,0.57,3.26,0.12
61,21,2416,28054.0,34.88,0.57,3.26,0.12
62,21,2416,28054.0,34.85,0.57,3.26,0.12
63,21,2416,28054.0,34.85,0.57,3.26,0.12
64,21,2416,28054.0,34.85,0.57,3.26,0.12
65,21,2416,28054.0,34.82,0.56,3.26,0.12
66,21,2416,28054.0,34.82,0.56,3.26,0.12
67,21,2416,28054.0,34.82,0.56,3.26,0.12
