[INFO] Module Python/3.10.4 loaded.
Gurobi shell based on Python 3.10.4 can be launched with command `gurobi.sh`
Gurobi Python Interface can be loaded in Python 3.10.4 with 'import gurobipy'
[INFO] Module Gurobi/10.0.0 loaded.
------------------------------------------------------------
SLURM JOB NAME: eva-vc__n-200__mu-16__a--1__dist-poisson__d-4
SLURM JOB ID: 36737842
Running on nodes: ncm0126
Number of CPUs: 8
Started at Fri Jul 14 18:58:06 CEST 2023
------------------------------------------------------------
Set parameter TSPort to value 50039
Set parameter TokenServer to value "license6.itc.rwth-aachen.de"
Set parameter TimeLimit to value 300
Gurobi Optimizer version 10.0.0 build v10.0.0rc2 (linux64)

CPU model: Intel(R) Xeon(R) Platinum 8160 CPU @ 2.10GHz, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 48 physical cores, 48 logical processors, using up to 32 threads

Optimize a model with 400 rows, 200 columns and 800 nonzeros
Model fingerprint: 0x0047be03
Variable types: 0 continuous, 200 integer (200 binary)
Coefficient statistics:
  Matrix range     [1e+00, 1e+00]
  Objective range  [1e+00, 1e+00]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 1e+00]
Found heuristic solution: objective 123.0000000
Presolve removed 118 rows and 46 columns
Presolve time: 0.00s
Presolved: 282 rows, 154 columns, 571 nonzeros
Found heuristic solution: objective 119.0000000
Variable types: 0 continuous, 154 integer (154 binary)

Root relaxation: objective 1.020000e+02, 211 iterations, 0.00 seconds (0.00 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0  102.00000    0  136  119.00000  102.00000  14.3%     -    0s
H    0     0                     115.0000000  102.00000  11.3%     -    0s
H    0     0                     112.0000000  102.00000  8.93%     -    0s
H    0     0                     111.0000000  102.00000  8.11%     -    0s
H    0     0                     108.0000000  102.00000  5.56%     -    0s
     0     0  105.00000    0  150  108.00000  105.00000  2.78%     -    0s
     0     0  106.00000    0  134  108.00000  106.00000  1.85%     -    0s
H    0     0                     107.0000000  106.00000  0.93%     -    0s
     0     0  106.00000    0  137  107.00000  106.00000  0.93%     -    0s
     0     0  106.00000    0  134  107.00000  106.00000  0.93%     -    0s

Cutting planes:
  Gomory: 1
  Zero half: 19
  RLT: 13
  BQP: 1

Explored 1 nodes (412 simplex iterations) in 0.04 seconds (0.02 work units)
Thread count was 32 (of 48 available processors)

Solution count 7: 107 108 111 ... 123

Optimal solution found (tolerance 1.00e-04)
Best objective 1.070000000000e+02, best bound 1.070000000000e+02, gap 0.0000%
Vertex cover found by the ILP solver:
[1, 2, 4, 5, 6, 7, 8, 9, 11, 13, 14, 15, 17, 23, 24, 25, 26, 27, 29, 30, 31, 32, 34, 35, 36, 38, 39, 43, 44, 46, 47, 49, 53, 55, 56, 59, 60, 61, 62, 63, 64, 65, 68, 69, 70, 72, 73, 76, 77, 79, 80, 81, 84, 85, 86, 88, 89, 91, 92, 99, 105, 106, 107, 108, 110, 111, 113, 115, 116, 117, 119, 120, 121, 122, 124, 125, 126, 128, 131, 132, 134, 136, 142, 143, 144, 147, 149, 152, 153, 157, 159, 162, 167, 173, 174, 176, 177, 178, 180, 183, 185, 187, 189, 191, 196, 197, 198]
Number of vertices in the ILP vertex cover:
107
Max mu+1 generations: 640000
Cut-off after 282 same generation fitness values
generation, unique_ind, population_fitness, best_ind_vc_cnt, mean_vc_overlap, std_vc_overlap, avg_node_degree, avg_node_leafes 

0,2,2,199,199.88,0.23,4.0,0.11
1,3,16,197,199.5,0.7,4.0,0.1
2,4,42,197,199.12,0.93,4.0,0.1
3,5,64,197,199.0,0.93,4.0,0.1
4,6,118,195,198.4,1.32,4.0,0.1
5,7,168,195,198.15,1.33,4.0,0.1
6,8,226,195,197.9,1.33,4.0,0.1
7,9,336,193,197.1,1.72,4.0,0.1
8,10,434,193,196.73,1.72,4.0,0.1
9,11,508,193,196.61,1.68,4.0,0.1
10,12,698,191,195.62,2.07,4.0,0.1
11,13,792,191,195.5,2.03,4.0,0.1
12,14,938,191,195.14,1.97,4.0,0.1
13,15,1104,191,194.77,1.9,4.0,0.1
14,16,1278,191,194.4,1.81,4.0,0.1
15,16,1360,191,194.04,1.7,4.0,0.11
16,16,1446,191,193.67,1.65,4.0,0.11
17,16,1710,187,192.38,2.33,4.0,0.1
18,16,1796,187,192.01,2.25,4.0,0.1
19,16,1908,187,191.52,2.16,4.01,0.1
20,16,1970,187,191.33,2.19,4.0,0.1
21,16,2022,187,191.1,2.11,4.0,0.1
22,16,2142,187,190.6,2.09,4.01,0.11
23,16,2220,187,190.25,2.06,4.01,0.11
24,16,2264,187,190.03,2.02,4.01,0.11
25,16,2330,187,189.71,2.01,4.01,0.11
26,16,2382,187,189.47,1.97,4.01,0.11
27,16,2468,187,189.11,1.89,4.01,0.11
28,16,2508,187,188.9,1.83,4.01,0.11
29,16,2568,187,188.65,1.78,4.0,0.11
30,16,2582,187,188.56,1.73,4.0,0.11
31,16,2684,187,187.91,1.58,4.01,0.11
32,16,2740,187,187.67,1.5,4.0,0.11
33,16,2804,187,187.53,1.63,4.01,0.11
34,16,2856,187,187.3,1.57,4.01,0.1
35,16,2956,187,186.84,1.48,4.01,0.11
36,16,3084,187,186.32,1.51,4.01,0.11
37,16,3152,187,185.93,1.45,4.01,0.1
38,16,3174,187,185.7,1.39,4.01,0.1
39,16,3206,187,185.63,1.43,4.01,0.1
40,16,3322,187,185.14,1.48,4.01,0.1
41,16,3352,187,185.02,1.47,4.01,0.1
42,16,3390,187,184.88,1.44,4.01,0.1
43,16,3468,187,184.52,1.45,4.01,0.1
44,16,3498,187,184.4,1.37,4.0,0.1
45,16,3558,187,184.15,1.43,4.0,0.1
46,16,3670,187,183.67,1.37,4.01,0.1
47,16,3700,187,183.54,1.37,4.01,0.1
48,16,3778,187,183.19,1.27,4.0,0.1
49,16,3854,187,182.78,1.19,4.0,0.1
50,16,3906,187,182.55,1.27,4.0,0.1
51,16,4014,186,181.82,1.21,4.0,0.1
52,16,4074,186,181.7,1.32,4.0,0.1
53,16,4178,186,181.11,1.32,4.0,0.1
54,16,4230,186,180.87,1.35,4.0,0.1
55,16,4260,186,180.75,1.28,4.0,0.1
56,16,4348,185,180.32,1.42,4.0,0.1
57,16,4412,185,180.06,1.55,4.0,0.1
58,16,4426,185,179.97,1.53,4.0,0.1
59,16,4510,185,179.42,1.29,4.0,0.1
60,16,4602,184,178.97,1.45,4.0,0.1
61,16,4602,184,178.97,1.45,4.0,0.1
62,16,4712,182,178.18,1.44,4.0,0.1
63,16,4780,182,178.17,1.78,4.0,0.1
64,16,4832,182,177.93,1.72,4.0,0.1
65,16,4924,181,177.24,1.63,4.0,0.1
66,16,5020,181,176.67,1.59,4.0,0.1
67,16,5072,181,176.43,1.7,4.0,0.1
68,16,5176,181,175.97,1.71,4.0,0.1
69,16,5220,181,175.75,1.77,4.0,0.1
