[INFO] Module Python/3.10.4 loaded.
Gurobi shell based on Python 3.10.4 can be launched with command `gurobi.sh`
Gurobi Python Interface can be loaded in Python 3.10.4 with 'import gurobipy'
[INFO] Module Gurobi/10.0.0 loaded.
------------------------------------------------------------
SLURM JOB NAME: eva-vc__n-200__mu-16__a--1__dist-uniform1__d-2
SLURM JOB ID: 36737841
Running on nodes: ncm0508
Number of CPUs: 8
Started at Fri Jul 14 18:58:05 CEST 2023
------------------------------------------------------------
Set parameter TSPort to value 50039
Set parameter TokenServer to value "license6.itc.rwth-aachen.de"
Set parameter TimeLimit to value 300
Gurobi Optimizer version 10.0.0 build v10.0.0rc2 (linux64)

CPU model: Intel(R) Xeon(R) Platinum 8160 CPU @ 2.10GHz, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 48 physical cores, 48 logical processors, using up to 32 threads

Optimize a model with 200 rows, 200 columns and 400 nonzeros
Model fingerprint: 0xfee9de26
Variable types: 0 continuous, 200 integer (200 binary)
Coefficient statistics:
  Matrix range     [1e+00, 1e+00]
  Objective range  [1e+00, 1e+00]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 1e+00]
Found heuristic solution: objective 94.0000000
Presolve removed 200 rows and 200 columns
Presolve time: 0.00s
Presolve: All rows and columns removed

Explored 0 nodes (0 simplex iterations) in 0.00 seconds (0.00 work units)
Thread count was 1 (of 48 available processors)

Solution count 2: 81 94 

Optimal solution found (tolerance 1.00e-04)
Best objective 8.100000000000e+01, best bound 8.100000000000e+01, gap 0.0000%
Vertex cover found by the ILP solver:
[0, 2, 5, 6, 11, 12, 13, 15, 17, 21, 25, 26, 34, 37, 38, 39, 40, 42, 44, 46, 48, 54, 55, 59, 60, 61, 63, 67, 72, 73, 77, 78, 79, 82, 84, 86, 88, 90, 93, 95, 99, 100, 101, 105, 110, 111, 112, 113, 119, 120, 127, 130, 131, 132, 133, 135, 140, 142, 143, 144, 145, 148, 149, 150, 152, 153, 154, 155, 165, 172, 176, 179, 181, 183, 188, 189, 190, 192, 193, 197, 198]
Number of vertices in the ILP vertex cover:
81
Max mu+1 generations: 640000
Cut-off after 282 same generation fitness values
generation, unique_ind, population_fitness, best_ind_vc_cnt, mean_vc_overlap, std_vc_overlap, avg_node_degree, avg_node_leafes 

0,2,2,199,199.88,0.23,2.0,0.29
1,3,8,199,199.75,0.31,2.0,0.29
2,4,18,199,199.63,0.36,2.0,0.29
3,5,32,199,199.5,0.4,2.0,0.29
4,6,50,199,199.37,0.43,2.0,0.29
5,7,72,199,199.25,0.45,2.0,0.29
6,8,98,199,199.12,0.46,2.0,0.28
7,9,140,198,198.88,0.56,2.0,0.28
8,10,176,198,198.76,0.55,2.0,0.28
9,11,228,198,198.53,0.59,2.0,0.29
10,12,288,198,198.29,0.61,2.0,0.29
11,13,376,197,197.94,0.71,2.0,0.28
12,14,468,197,197.61,0.74,2.0,0.28
13,15,588,196,197.17,0.82,2.0,0.28
14,16,692,196,196.93,0.77,2.0,0.28
15,16,766,196,196.59,0.74,2.0,0.28
16,16,808,196,196.44,0.73,2.0,0.28
17,16,846,196,196.3,0.71,2.0,0.28
18,16,894,196,196.08,0.71,2.0,0.28
19,16,948,196,195.78,0.71,2.0,0.28
20,16,1014,196,195.45,0.74,2.0,0.28
21,16,1070,196,195.21,0.71,2.0,0.28
22,16,1124,196,195.03,0.73,2.0,0.28
23,16,1178,196,194.73,0.67,2.0,0.28
24,16,1248,196,194.4,0.63,2.0,0.28
25,16,1286,196,194.26,0.6,2.0,0.28
26,16,1316,196,194.13,0.61,2.0,0.28
27,16,1372,196,193.89,0.59,2.0,0.28
28,16,1422,195,193.6,0.57,2.0,0.28
29,16,1478,195,193.36,0.61,2.0,0.28
30,16,1546,194,192.97,0.62,2.0,0.28
31,16,1598,194,192.73,0.69,2.0,0.28
32,16,1628,194,192.61,0.7,2.0,0.28
33,16,1660,194,192.54,0.76,2.0,0.28
34,16,1716,194,192.18,0.68,2.0,0.28
35,16,1742,194,192.06,0.64,2.0,0.28
36,16,1776,194,191.92,0.61,2.0,0.28
37,16,1806,194,191.8,0.6,2.0,0.28
38,16,1836,194,191.68,0.53,2.0,0.28
39,16,1882,194,191.52,0.63,2.0,0.28
40,16,1912,194,191.39,0.57,2.0,0.28
41,16,1964,194,191.16,0.49,2.0,0.28
42,16,1994,194,191.03,0.48,2.0,0.28
43,16,2050,194,190.79,0.54,2.0,0.28
44,16,2082,194,190.72,0.61,2.0,0.28
45,16,2116,193,190.47,0.56,2.0,0.28
