[INFO] Module Python/3.10.4 loaded.
Gurobi shell based on Python 3.10.4 can be launched with command `gurobi.sh`
Gurobi Python Interface can be loaded in Python 3.10.4 with 'import gurobipy'
[INFO] Module Gurobi/10.0.0 loaded.
------------------------------------------------------------
SLURM JOB NAME: eva-vc__n-200__mu-16__a-0.5__dist-uniform1__d-2
SLURM JOB ID: 36737857
Running on nodes: ncm0247
Number of CPUs: 8
Started at Fri Jul 14 18:58:06 CEST 2023
------------------------------------------------------------
Set parameter TSPort to value 50039
Set parameter TokenServer to value "license6.itc.rwth-aachen.de"
Set parameter TimeLimit to value 300
Gurobi Optimizer version 10.0.0 build v10.0.0rc2 (linux64)

CPU model: Intel(R) Xeon(R) Platinum 8160 CPU @ 2.10GHz, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 48 physical cores, 48 logical processors, using up to 32 threads

Optimize a model with 200 rows, 200 columns and 400 nonzeros
Model fingerprint: 0x1193bec7
Variable types: 0 continuous, 200 integer (200 binary)
Coefficient statistics:
  Matrix range     [1e+00, 1e+00]
  Objective range  [2e+01, 2e+03]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 1e+00]
Found heuristic solution: objective 90591.000000
Presolve removed 200 rows and 200 columns
Presolve time: 0.00s
Presolve: All rows and columns removed

Explored 0 nodes (0 simplex iterations) in 0.00 seconds (0.00 work units)
Thread count was 1 (of 48 available processors)

Solution count 2: 67722 90591 

Optimal solution found (tolerance 1.00e-04)
Best objective 6.772200000000e+04, best bound 6.772200000000e+04, gap 0.0000%
Vertex cover found by the ILP solver:
[0, 2, 5, 6, 13, 15, 17, 21, 22, 29, 34, 36, 37, 38, 40, 42, 44, 46, 48, 53, 55, 56, 58, 62, 63, 67, 70, 72, 74, 77, 78, 79, 80, 82, 83, 84, 85, 86, 90, 93, 95, 100, 101, 110, 112, 115, 116, 117, 118, 120, 121, 122, 125, 127, 130, 131, 132, 133, 135, 137, 138, 140, 141, 142, 143, 145, 147, 148, 149, 150, 152, 153, 154, 155, 161, 163, 164, 167, 169, 178, 181, 183, 185, 186, 187, 188, 189, 197, 198]
Number of vertices in the ILP vertex cover:
89
Max mu+1 generations: 640000
Cut-off after 282 same generation fitness values
generation, unique_ind, population_fitness, best_ind_vc_cnt, mean_vc_overlap, std_vc_overlap, avg_node_degree, avg_node_leafes 

0,2,2,89068.0,124.88,0.23,2.18,0.31
1,3,12,89068.0,124.75,0.31,2.18,0.31
2,4,30,89068.0,124.62,0.36,2.18,0.31
3,5,64,89068.0,124.39,0.51,2.18,0.31
4,6,102,89068.0,124.27,0.53,2.18,0.31
5,7,148,89068.0,124.14,0.54,2.18,0.31
6,8,202,89068.0,124.02,0.55,2.18,0.31
7,9,248,88569.0,123.89,0.54,2.18,0.31
8,9,248,88569.0,123.78,0.53,2.18,0.31
9,10,314,88569.0,123.58,0.54,2.18,0.31
10,11,420,88569.0,123.27,0.62,2.19,0.31
11,12,504,88569.0,123.16,0.58,2.19,0.31
12,13,636,88569.0,122.94,0.57,2.19,0.31
13,14,788,88569.0,122.72,0.55,2.19,0.31
14,15,944,88569.0,122.52,0.5,2.19,0.31
15,16,1190,88569.0,122.33,0.56,2.18,0.31
16,16,1260,88569.0,122.13,0.48,2.19,0.31
17,16,1398,88569.0,121.9,0.53,2.19,0.31
18,16,1466,88569.0,121.76,0.49,2.19,0.31
19,16,1548,89331.0,121.65,0.5,2.19,0.31
20,16,1730,89331.0,121.33,0.55,2.19,0.31
21,16,1812,89331.0,121.1,0.58,2.19,0.31
22,16,1898,89361.0,120.98,0.54,2.19,0.31
23,16,1988,89526.0,120.86,0.55,2.19,0.31
24,16,2088,89526.0,120.78,0.52,2.19,0.31
25,16,2118,88171.0,120.65,0.54,2.19,0.31
26,16,2228,88171.0,120.36,0.57,2.19,0.31
27,16,2366,88171.0,120.13,0.55,2.2,0.31
28,16,2528,88171.0,119.98,0.56,2.19,0.31
29,16,2558,86803.0,119.86,0.62,2.19,0.31
30,16,2720,86803.0,119.71,0.61,2.19,0.31
31,16,2852,86803.0,119.56,0.69,2.19,0.31
32,16,2904,86803.0,119.45,0.6,2.2,0.31
33,16,3022,86803.0,119.27,0.63,2.2,0.31
34,16,3098,86803.0,119.36,0.82,2.19,0.3
35,16,3106,86803.0,119.34,0.78,2.2,0.3
36,16,3136,86803.0,119.22,0.79,2.2,0.3
37,16,3146,86803.0,119.26,0.81,2.2,0.31
38,16,3218,89444.0,119.36,0.8,2.19,0.31
39,16,3326,89444.0,119.13,0.85,2.19,0.31
40,16,3448,89444.0,118.82,0.75,2.19,0.31
41,16,3514,89444.0,118.74,0.91,2.19,0.31
42,16,3626,89444.0,118.38,0.66,2.19,0.31
43,16,3676,89444.0,118.47,0.9,2.19,0.31
44,16,3736,89444.0,118.34,0.92,2.19,0.31
45,16,3870,89444.0,118.25,0.93,2.19,0.31
46,16,3870,89444.0,118.25,0.93,2.19,0.31
47,16,3956,89444.0,118.01,0.84,2.19,0.31
48,16,3986,89444.0,117.88,0.85,2.19,0.31
49,16,4074,89444.0,117.58,0.55,2.19,0.31
50,16,4146,91278.0,117.55,0.57,2.19,0.31
51,16,4176,91278.0,117.43,0.43,2.2,0.31
52,16,4276,91278.0,117.34,0.44,2.2,0.31
