[INFO] Module Python/3.10.4 loaded.
Gurobi shell based on Python 3.10.4 can be launched with command `gurobi.sh`
Gurobi Python Interface can be loaded in Python 3.10.4 with 'import gurobipy'
[INFO] Module Gurobi/10.0.0 loaded.
------------------------------------------------------------
SLURM JOB NAME: eva-vc__n-200__mu-2__a-0.05__dist-poisson__d-4
SLURM JOB ID: 36737854
Running on nodes: ncm0247
Number of CPUs: 8
Started at Fri Jul 14 18:58:06 CEST 2023
------------------------------------------------------------
Set parameter TSPort to value 50039
Set parameter TokenServer to value "license6.itc.rwth-aachen.de"
Set parameter TimeLimit to value 300
Gurobi Optimizer version 10.0.0 build v10.0.0rc2 (linux64)

CPU model: Intel(R) Xeon(R) Platinum 8160 CPU @ 2.10GHz, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 48 physical cores, 48 logical processors, using up to 32 threads

Optimize a model with 400 rows, 200 columns and 800 nonzeros
Model fingerprint: 0x80722ef7
Variable types: 0 continuous, 200 integer (200 binary)
Coefficient statistics:
  Matrix range     [1e+00, 1e+00]
  Objective range  [2e+01, 2e+03]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 1e+00]
Found heuristic solution: objective 132587.00000
Presolve removed 152 rows and 63 columns
Presolve time: 0.01s
Presolved: 248 rows, 137 columns, 502 nonzeros
Found heuristic solution: objective 106383.00000
Variable types: 0 continuous, 137 integer (137 binary)
Found heuristic solution: objective 104745.00000

Root relaxation: objective 1.002980e+05, 163 iterations, 0.00 seconds (0.00 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 100298.000    0   83 104745.000 100298.000  4.25%     -    0s
H    0     0                    103308.00000 100298.000  2.91%     -    0s
H    0     0                    100306.00000 100298.000  0.01%     -    0s

Cutting planes:
  Gomory: 1
  Zero half: 8
  RLT: 3

Explored 1 nodes (163 simplex iterations) in 0.02 seconds (0.00 work units)
Thread count was 32 (of 48 available processors)

Solution count 5: 100306 103308 104745 ... 132587

Optimal solution found (tolerance 1.00e-04)
Best objective 1.003060000000e+05, best bound 1.003060000000e+05, gap 0.0000%
Vertex cover found by the ILP solver:
[0, 3, 4, 6, 8, 9, 11, 12, 14, 17, 18, 21, 22, 23, 24, 25, 27, 28, 29, 31, 32, 33, 35, 37, 39, 41, 43, 45, 47, 49, 50, 54, 55, 56, 57, 61, 66, 69, 70, 72, 75, 77, 78, 79, 81, 82, 84, 88, 90, 91, 92, 95, 96, 97, 98, 99, 101, 105, 106, 109, 110, 111, 112, 113, 115, 116, 117, 121, 124, 125, 126, 128, 129, 131, 133, 136, 139, 140, 141, 143, 145, 147, 148, 149, 150, 152, 153, 154, 155, 156, 158, 160, 162, 165, 166, 167, 170, 171, 172, 174, 176, 177, 178, 180, 182, 186, 187, 188, 189, 191, 195, 196, 198]
Number of vertices in the ILP vertex cover:
113
Max mu+1 generations: 80000
Cut-off after 282 same generation fitness values
generation, unique_ind, population_fitness, best_ind_vc_cnt, mean_vc_overlap, std_vc_overlap, avg_node_degree, avg_node_leafes 

Heuristic pop: timeout
0,2,6,100306.0,112.0,0.0,4.56,0.07
1,2,12,100306.0,111.0,0.0,4.57,0.07
2,2,20,100306.0,110.0,0.0,4.59,0.07
3,2,26,103265.0,109.0,0.0,4.58,0.07
4,2,30,104517.0,108.0,0.0,4.59,0.06
5,2,30,104517.0,108.0,0.0,4.59,0.06
6,2,30,104517.0,108.0,0.0,4.59,0.06
7,2,30,104517.0,108.0,0.0,4.59,0.06
8,2,32,104777.0,108.0,0.0,4.59,0.06
9,2,32,104777.0,108.0,0.0,4.59,0.06
10,2,32,104777.0,108.0,0.0,4.59,0.06
11,2,32,104777.0,108.0,0.0,4.59,0.06
12,2,32,104777.0,108.0,0.0,4.59,0.06
13,2,32,104777.0,108.0,0.0,4.59,0.06
14,2,32,104777.0,108.0,0.0,4.59,0.06
15,2,32,104777.0,108.0,0.0,4.59,0.06
16,2,32,104777.0,108.0,0.0,4.59,0.06
17,2,32,104777.0,108.0,0.0,4.59,0.06
18,2,32,104777.0,108.0,0.0,4.59,0.06
19,2,32,104777.0,108.0,0.0,4.59,0.06
20,2,32,104777.0,108.0,0.0,4.59,0.06
21,2,32,104777.0,108.0,0.0,4.59,0.06
22,2,32,104777.0,108.0,0.0,4.59,0.06
23,2,32,104777.0,108.0,0.0,4.59,0.06
24,2,32,104777.0,108.0,0.0,4.59,0.06
25,2,32,104777.0,108.0,0.0,4.59,0.06
26,2,32,104777.0,108.0,0.0,4.59,0.06
27,2,32,104777.0,108.0,0.0,4.59,0.06
28,2,32,104777.0,108.0,0.0,4.59,0.06
29,2,32,104777.0,108.0,0.0,4.59,0.06
30,2,32,104777.0,108.0,0.0,4.59,0.06
31,2,32,104777.0,108.0,0.0,4.59,0.06
32,2,32,104777.0,108.0,0.0,4.59,0.06
33,2,32,104777.0,108.0,0.0,4.59,0.06
34,2,32,104777.0,108.0,0.0,4.59,0.06
35,2,32,104777.0,108.0,0.0,4.59,0.06
36,2,32,104777.0,108.0,0.0,4.59,0.06
37,2,32,104777.0,108.0,0.0,4.59,0.06
38,2,32,104777.0,108.0,0.0,4.59,0.06
39,2,32,104777.0,108.0,0.0,4.59,0.06
40,2,32,104777.0,108.0,0.0,4.59,0.06
41,2,32,104777.0,108.0,0.0,4.59,0.06
42,2,32,104777.0,108.0,0.0,4.59,0.06
43,2,32,104777.0,108.0,0.0,4.59,0.06
44,2,32,104777.0,108.0,0.0,4.59,0.06
45,2,32,104777.0,108.0,0.0,4.59,0.06
46,2,32,104777.0,108.0,0.0,4.59,0.06
47,2,32,104777.0,108.0,0.0,4.59,0.06
48,2,32,104777.0,108.0,0.0,4.59,0.06
49,2,32,104777.0,108.0,0.0,4.59,0.06
50,2,32,104777.0,108.0,0.0,4.59,0.06
51,2,32,104777.0,108.0,0.0,4.59,0.06
52,2,32,104777.0,108.0,0.0,4.59,0.06
53,2,32,104777.0,108.0,0.0,4.59,0.06
54,2,36,104801.0,107.0,0.0,4.59,0.06
55,2,36,104801.0,107.0,0.0,4.59,0.06
56,2,36,104801.0,107.0,0.0,4.59,0.06
