[INFO] Module Python/3.10.4 loaded.
Gurobi shell based on Python 3.10.4 can be launched with command `gurobi.sh`
Gurobi Python Interface can be loaded in Python 3.10.4 with 'import gurobipy'
[INFO] Module Gurobi/10.0.0 loaded.
------------------------------------------------------------
SLURM JOB NAME: eva-vc__n-200__mu-64__a-0.05__dist-uniform1__d-4
SLURM JOB ID: 36799825
Running on nodes: ncm0402
Number of CPUs: 8
Started at Sun Jul 16 13:22:28 CEST 2023
------------------------------------------------------------
Set parameter TSPort to value 50039
Set parameter TokenServer to value "license6.itc.rwth-aachen.de"
Set parameter TimeLimit to value 300
Gurobi Optimizer version 10.0.0 build v10.0.0rc2 (linux64)

CPU model: Intel(R) Xeon(R) Platinum 8160 CPU @ 2.10GHz, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 48 physical cores, 48 logical processors, using up to 32 threads

Optimize a model with 400 rows, 200 columns and 800 nonzeros
Model fingerprint: 0x80722ef7
Variable types: 0 continuous, 200 integer (200 binary)
Coefficient statistics:
  Matrix range     [1e+00, 1e+00]
  Objective range  [2e+01, 2e+03]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 1e+00]
Found heuristic solution: objective 132587.00000
Presolve removed 152 rows and 63 columns
Presolve time: 0.00s
Presolved: 248 rows, 137 columns, 502 nonzeros
Found heuristic solution: objective 106383.00000
Variable types: 0 continuous, 137 integer (137 binary)
Found heuristic solution: objective 104745.00000

Root relaxation: objective 1.002980e+05, 163 iterations, 0.00 seconds (0.00 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 100298.000    0   83 104745.000 100298.000  4.25%     -    0s
H    0     0                    103308.00000 100298.000  2.91%     -    0s
H    0     0                    100306.00000 100298.000  0.01%     -    0s

Cutting planes:
  Gomory: 1
  Zero half: 8
  RLT: 3

Explored 1 nodes (163 simplex iterations) in 0.01 seconds (0.00 work units)
Thread count was 32 (of 48 available processors)

Solution count 5: 100306 103308 104745 ... 132587

Optimal solution found (tolerance 1.00e-04)
Best objective 1.003060000000e+05, best bound 1.003060000000e+05, gap 0.0000%
Vertex cover found by the ILP solver:
[0, 3, 4, 6, 8, 9, 11, 12, 14, 17, 18, 21, 22, 23, 24, 25, 27, 28, 29, 31, 32, 33, 35, 37, 39, 41, 43, 45, 47, 49, 50, 54, 55, 56, 57, 61, 66, 69, 70, 72, 75, 77, 78, 79, 81, 82, 84, 88, 90, 91, 92, 95, 96, 97, 98, 99, 101, 105, 106, 109, 110, 111, 112, 113, 115, 116, 117, 121, 124, 125, 126, 128, 129, 131, 133, 136, 139, 140, 141, 143, 145, 147, 148, 149, 150, 152, 153, 154, 155, 156, 158, 160, 162, 165, 166, 167, 170, 171, 172, 174, 176, 177, 178, 180, 182, 186, 187, 188, 189, 191, 195, 196, 198]
Number of vertices in the ILP vertex cover:
113
Max mu+1 generations: 2560000
Cut-off after 282 same generation fitness values
generation, unique_ind, population_fitness, best_ind_vc_cnt, mean_vc_overlap, std_vc_overlap, avg_node_degree, avg_node_leafes 

Heuristic pop: timeout
0,2,10,100306.0,112.97,0.12,4.57,0.07
1,3,32,100306.0,112.94,0.17,4.57,0.07
2,4,68,100306.0,112.91,0.21,4.57,0.07
3,5,124,100306.0,112.88,0.24,4.58,0.07
4,6,196,100306.0,112.84,0.26,4.57,0.07
5,7,288,100306.0,112.81,0.28,4.57,0.07
6,8,380,100306.0,112.78,0.3,4.57,0.07
7,9,496,100306.0,112.75,0.32,4.57,0.07
8,9,496,100306.0,112.72,0.33,4.57,0.07
9,10,614,100306.0,112.69,0.35,4.57,0.07
10,11,744,100306.0,112.66,0.36,4.57,0.07
11,11,744,100306.0,112.63,0.37,4.57,0.07
12,12,886,100306.0,112.6,0.38,4.57,0.07
13,12,886,100306.0,112.6,0.38,4.57,0.07
14,13,1060,100306.0,112.57,0.39,4.57,0.07
15,14,1220,100306.0,112.54,0.4,4.57,0.07
16,15,1424,100306.0,112.51,0.41,4.57,0.07
17,16,1614,100306.0,112.48,0.42,4.57,0.07
18,17,1816,100306.0,112.45,0.43,4.57,0.07
19,18,2142,100306.0,112.39,0.47,4.57,0.07
20,18,2142,100306.0,112.39,0.47,4.57,0.07
21,19,2492,100306.0,112.33,0.5,4.57,0.07
22,20,2780,100306.0,112.3,0.5,4.57,0.07
23,21,3116,100306.0,112.27,0.51,4.57,0.07
24,22,3502,100306.0,112.21,0.53,4.57,0.07
25,23,3844,100306.0,112.18,0.54,4.57,0.07
26,24,4296,100306.0,112.12,0.56,4.57,0.07
27,25,4716,100306.0,112.1,0.56,4.57,0.07
28,26,5118,100306.0,112.07,0.56,4.57,0.07
29,26,5118,100306.0,112.07,0.56,4.57,0.07
30,26,5118,100306.0,112.04,0.55,4.57,0.07
31,26,5118,100306.0,112.01,0.55,4.57,0.07
32,26,5118,100306.0,112.01,0.55,4.57,0.07
33,26,5118,100306.0,111.98,0.55,4.57,0.07
34,27,5564,100306.0,111.93,0.57,4.57,0.07
35,28,5946,100306.0,111.9,0.56,4.57,0.07
36,29,6380,100306.0,111.87,0.56,4.57,0.07
37,30,6776,100306.0,111.84,0.56,4.57,0.07
38,30,6776,100306.0,111.84,0.56,4.57,0.07
39,31,7388,100306.0,111.78,0.57,4.57,0.07
40,31,7388,100306.0,111.76,0.57,4.57,0.07
41,31,7388,100306.0,111.76,0.57,4.57,0.07
42,31,7388,100306.0,111.76,0.57,4.57,0.07
43,31,7388,100306.0,111.76,0.57,4.57,0.07
44,32,7808,100306.0,111.73,0.56,4.57,0.07
45,33,8192,100306.0,111.73,0.56,4.57,0.07
46,34,8642,100306.0,111.7,0.56,4.57,0.07
47,34,8642,100306.0,111.7,0.56,4.57,0.07
48,34,8642,100306.0,111.7,0.56,4.57,0.07
49,35,9048,100306.0,111.67,0.55,4.57,0.07
50,35,9048,100306.0,111.67,0.55,4.57,0.07
51,35,9048,100306.0,111.67,0.55,4.57,0.07
52,36,9520,100306.0,111.64,0.55,4.57,0.07
53,37,10212,100306.0,111.58,0.56,4.57,0.07
54,37,10212,100306.0,111.58,0.56,4.57,0.07
55,38,10954,100306.0,111.53,0.56,4.57,0.07
