[INFO] Module Python/3.10.4 loaded.
Gurobi shell based on Python 3.10.4 can be launched with command `gurobi.sh`
Gurobi Python Interface can be loaded in Python 3.10.4 with 'import gurobipy'
[INFO] Module Gurobi/10.0.0 loaded.
------------------------------------------------------------
SLURM JOB NAME: eva-vc__n-400__mu-16__a--1__dist-poisson__d-2
SLURM JOB ID: 36736014
Running on nodes: ncm0261
Number of CPUs: 16
Started at Fri Jul 14 16:44:42 CEST 2023
------------------------------------------------------------
Set parameter TSPort to value 50039
Set parameter TokenServer to value "license6.itc.rwth-aachen.de"
Set parameter TimeLimit to value 3600
Gurobi Optimizer version 10.0.0 build v10.0.0rc2 (linux64)

CPU model: Intel(R) Xeon(R) Platinum 8160 CPU @ 2.10GHz, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 48 physical cores, 48 logical processors, using up to 32 threads

Optimize a model with 400 rows, 400 columns and 800 nonzeros
Model fingerprint: 0x61a6d9e4
Variable types: 0 continuous, 400 integer (400 binary)
Coefficient statistics:
  Matrix range     [1e+00, 1e+00]
  Objective range  [1e+00, 1e+00]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 1e+00]
Found heuristic solution: objective 191.0000000
Presolve removed 400 rows and 400 columns
Presolve time: 0.00s
Presolve: All rows and columns removed

Explored 0 nodes (0 simplex iterations) in 0.01 seconds (0.00 work units)
Thread count was 1 (of 48 available processors)

Solution count 2: 156 191 

Optimal solution found (tolerance 1.00e-04)
Best objective 1.560000000000e+02, best bound 1.560000000000e+02, gap 0.0000%
Vertex cover found by the ILP solver:
[0, 3, 5, 8, 10, 12, 13, 14, 18, 19, 24, 28, 29, 32, 34, 35, 39, 42, 43, 45, 47, 48, 50, 54, 56, 57, 58, 60, 61, 62, 63, 70, 71, 75, 78, 80, 81, 82, 83, 84, 90, 91, 92, 95, 97, 98, 101, 102, 103, 104, 108, 111, 112, 114, 116, 118, 119, 123, 124, 125, 129, 131, 134, 136, 140, 146, 147, 148, 150, 153, 154, 159, 163, 165, 166, 170, 171, 172, 174, 175, 176, 177, 179, 182, 184, 185, 192, 194, 198, 202, 204, 205, 207, 208, 212, 219, 220, 222, 224, 226, 228, 232, 236, 239, 240, 242, 243, 246, 250, 253, 254, 256, 259, 261, 263, 264, 265, 266, 272, 273, 282, 284, 288, 289, 291, 295, 298, 299, 302, 303, 304, 305, 306, 307, 308, 309, 315, 316, 317, 320, 332, 334, 337, 340, 345, 350, 354, 361, 373, 378, 385, 386, 387, 391, 396, 398]
Number of vertices in the ILP vertex cover:
156
Max mu+1 generations: 2560000
Cut-off after 199 same generation fitness values
generation, unique_ind, population_fitness, best_ind_vc_cnt, mean_vc_overlap, std_vc_overlap, avg_node_degree, avg_node_leafes 

0,2,2,399,399.88,0.23,2.0,0.28
1,3,8,399,399.75,0.31,2.0,0.28
2,4,18,399,399.63,0.36,2.0,0.27
3,5,40,398,399.38,0.54,2.0,0.27
4,6,70,398,399.13,0.66,2.0,0.27
5,7,96,398,399.0,0.66,2.0,0.28
6,8,168,396,398.5,1.02,2.0,0.27
7,9,224,396,398.25,1.04,2.0,0.27
8,10,320,396,397.76,1.22,2.0,0.27
9,11,412,396,397.39,1.25,2.0,0.27
10,12,476,396,397.27,1.22,2.0,0.27
11,13,668,393,396.43,1.64,2.0,0.28
12,14,774,393,396.19,1.59,2.0,0.28
13,15,912,393,395.83,1.54,2.0,0.28
14,16,1126,393,395.22,1.59,2.0,0.28
15,16,1260,393,394.62,1.57,2.0,0.27
16,16,1380,393,394.12,1.6,2.0,0.27
17,16,1440,393,393.88,1.54,2.0,0.27
18,16,1506,393,393.55,1.47,2.0,0.27
19,16,1588,393,393.19,1.37,2.0,0.27
20,16,1696,393,392.72,1.28,2.0,0.27
21,16,1798,393,392.32,1.22,2.0,0.27
22,16,1834,393,392.12,1.15,2.0,0.27
23,16,1960,393,391.54,1.21,2.0,0.27
24,16,2042,393,391.18,1.19,2.0,0.27
25,16,2128,393,390.82,1.12,2.0,0.27
26,16,2212,393,390.39,1.0,2.0,0.27
27,16,2380,390,389.67,1.37,2.0,0.27
28,16,2406,390,389.55,1.33,2.0,0.27
29,16,2576,389,388.76,1.59,2.0,0.27
30,16,2632,389,388.52,1.54,2.0,0.27
31,16,2758,389,387.94,1.5,2.01,0.27
32,16,2838,389,387.53,1.39,2.01,0.27
33,16,2954,389,386.91,1.34,2.01,0.27
34,16,3040,389,386.54,1.33,2.01,0.27
35,16,3172,387,385.89,1.57,2.01,0.27
36,16,3274,386,385.12,1.56,2.01,0.27
37,16,3358,386,384.69,1.72,2.01,0.27
38,16,3428,386,384.36,1.66,2.01,0.27
39,16,3516,386,383.93,1.6,2.01,0.27
40,16,3630,384,383.38,1.91,2.01,0.27
41,16,3690,384,383.0,2.01,2.01,0.27
42,16,3810,384,382.5,1.98,2.01,0.27
43,16,3840,384,382.38,1.94,2.01,0.27
44,16,3932,384,381.93,1.87,2.01,0.27
45,16,4144,384,380.99,2.03,2.01,0.27
46,16,4200,384,380.75,1.98,2.01,0.27
47,16,4308,384,380.15,1.84,2.01,0.27
48,16,4330,384,380.04,1.87,2.01,0.27
49,16,4446,382,379.55,2.18,2.01,0.27
50,16,4542,382,378.98,1.99,2.01,0.27
51,16,4572,382,378.85,1.93,2.01,0.27
52,16,4706,382,378.26,1.92,2.01,0.27
53,16,4766,382,378.01,1.88,2.01,0.27
54,16,4866,382,377.55,1.7,2.01,0.27
