[INFO] Module Python/3.10.4 loaded.
Gurobi shell based on Python 3.10.4 can be launched with command `gurobi.sh`
Gurobi Python Interface can be loaded in Python 3.10.4 with 'import gurobipy'
[INFO] Module Gurobi/10.0.0 loaded.
------------------------------------------------------------
SLURM JOB NAME: eva-vc__n-50__mu-16__a-0.05__dist-poisson__d-4
SLURM JOB ID: 36737525
Running on nodes: ncm0160
Number of CPUs: 8
Started at Fri Jul 14 18:40:03 CEST 2023
------------------------------------------------------------
Set parameter TSPort to value 50039
Set parameter TokenServer to value "license6.itc.rwth-aachen.de"
Set parameter TimeLimit to value 300
Gurobi Optimizer version 10.0.0 build v10.0.0rc2 (linux64)

CPU model: Intel(R) Xeon(R) Platinum 8160 CPU @ 2.10GHz, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 48 physical cores, 48 logical processors, using up to 32 threads

Optimize a model with 100 rows, 50 columns and 200 nonzeros
Model fingerprint: 0xda14b8cd
Variable types: 0 continuous, 50 integer (50 binary)
Coefficient statistics:
  Matrix range     [1e+00, 1e+00]
  Objective range  [2e+01, 2e+03]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 1e+00]
Found heuristic solution: objective 31086.000000
Presolve removed 45 rows and 17 columns
Presolve time: 0.00s
Presolved: 55 rows, 33 columns, 113 nonzeros
Found heuristic solution: objective 25088.000000
Variable types: 0 continuous, 33 integer (33 binary)

Root relaxation: objective 2.401800e+04, 32 iterations, 0.00 seconds (0.00 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

*    0     0               0    24018.000000 24018.0000  0.00%     -    0s

Explored 1 nodes (32 simplex iterations) in 0.00 seconds (0.00 work units)
Thread count was 32 (of 48 available processors)

Solution count 3: 24018 25088 31086 

Optimal solution found (tolerance 1.00e-04)
Best objective 2.401800000000e+04, best bound 2.401800000000e+04, gap 0.0000%
Vertex cover found by the ILP solver:
[3, 4, 5, 6, 7, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20, 30, 31, 32, 33, 34, 35, 37, 38, 41, 42, 44, 46, 48]
Number of vertices in the ILP vertex cover:
28
Max mu+1 generations: 40000
Cut-off after 366 same generation fitness values
generation, unique_ind, population_fitness, best_ind_vc_cnt, mean_vc_overlap, std_vc_overlap, avg_node_degree, avg_node_leafes 

Heuristic pop: timeout
0,1,0,24018.0,28.0,0.0,4.82,0.0
1,1,0,24018.0,28.0,0.0,4.82,0.0
2,1,0,24018.0,28.0,0.0,4.82,0.0
3,1,0,24018.0,28.0,0.0,4.82,0.0
4,1,0,24018.0,28.0,0.0,4.82,0.0
5,1,0,24018.0,28.0,0.0,4.82,0.0
6,1,0,24018.0,28.0,0.0,4.82,0.0
7,1,0,24018.0,28.0,0.0,4.82,0.0
8,1,0,24018.0,28.0,0.0,4.82,0.0
9,1,0,24018.0,28.0,0.0,4.82,0.0
10,1,0,24018.0,28.0,0.0,4.82,0.0
11,1,0,24018.0,28.0,0.0,4.82,0.0
12,1,0,24018.0,28.0,0.0,4.82,0.0
13,1,0,24018.0,28.0,0.0,4.82,0.0
14,1,0,24018.0,28.0,0.0,4.82,0.0
15,2,4,24018.0,27.88,0.23,4.83,0.0
16,2,4,24018.0,27.88,0.23,4.83,0.0
17,3,16,24018.0,27.75,0.31,4.83,0.0
18,3,16,24018.0,27.64,0.33,4.84,0.0
19,3,16,24018.0,27.64,0.33,4.84,0.0
20,3,16,24018.0,27.64,0.33,4.84,0.0
21,3,16,24018.0,27.64,0.33,4.84,0.0
22,3,16,24018.0,27.64,0.33,4.84,0.0
23,3,16,24018.0,27.64,0.33,4.84,0.0
24,3,16,24018.0,27.64,0.33,4.84,0.0
25,3,16,24018.0,27.64,0.33,4.84,0.0
26,3,16,24018.0,27.64,0.33,4.84,0.0
27,3,16,24018.0,27.64,0.33,4.84,0.0
28,3,16,24018.0,27.64,0.33,4.84,0.0
29,3,16,24018.0,27.64,0.33,4.84,0.0
30,3,16,24018.0,27.55,0.32,4.85,0.0
31,3,16,24018.0,27.55,0.32,4.85,0.0
32,3,16,24018.0,27.55,0.32,4.85,0.0
33,3,16,24018.0,27.55,0.32,4.85,0.0
34,3,16,24018.0,27.55,0.32,4.85,0.0
35,3,16,24018.0,27.55,0.32,4.85,0.0
36,3,16,24018.0,27.55,0.32,4.85,0.0
37,3,16,24018.0,27.55,0.32,4.85,0.0
38,3,16,24018.0,27.55,0.32,4.85,0.0
39,3,16,24018.0,27.55,0.32,4.85,0.0
40,3,16,24018.0,27.55,0.32,4.85,0.0
41,3,16,24018.0,27.55,0.32,4.85,0.0
42,3,16,24018.0,27.55,0.32,4.85,0.0
43,3,16,24018.0,27.55,0.32,4.85,0.0
44,3,16,24018.0,27.55,0.32,4.85,0.0
45,3,16,24018.0,27.55,0.32,4.85,0.0
46,3,16,24018.0,27.55,0.32,4.85,0.0
47,3,16,24018.0,27.55,0.32,4.85,0.0
48,3,16,24018.0,27.55,0.32,4.85,0.0
49,3,16,24018.0,27.55,0.32,4.85,0.0
50,3,16,24018.0,27.55,0.32,4.85,0.0
51,3,16,24018.0,27.55,0.32,4.85,0.0
52,3,16,24018.0,27.55,0.32,4.85,0.0
53,3,16,24018.0,27.47,0.3,4.86,0.0
54,3,16,24018.0,27.47,0.3,4.86,0.0
55,3,16,24018.0,27.47,0.3,4.86,0.0
56,3,16,24018.0,27.47,0.3,4.86,0.0
57,4,42,24018.0,27.35,0.34,4.86,0.0
58,4,42,24018.0,27.35,0.34,4.86,0.0
59,4,42,24018.0,27.35,0.34,4.86,0.0
60,4,42,24018.0,27.35,0.34,4.86,0.0
61,4,42,24018.0,27.35,0.34,4.86,0.0
62,4,42,24018.0,27.35,0.34,4.86,0.0
63,4,42,24018.0,27.35,0.34,4.86,0.0
64,4,42,24018.0,27.35,0.34,4.86,0.0
65,4,42,24018.0,27.35,0.34,4.86,0.0
66,4,42,24018.0,27.35,0.34,4.86,0.0
67,4,42,24018.0,27.35,0.34,4.86,0.0
68,4,42,24018.0,27.35,0.34,4.86,0.0
69,4,42,24018.0,27.35,0.34,4.86,0.0
