[INFO] Module Python/3.10.4 loaded.
Gurobi shell based on Python 3.10.4 can be launched with command `gurobi.sh`
Gurobi Python Interface can be loaded in Python 3.10.4 with 'import gurobipy'
[INFO] Module Gurobi/10.0.0 loaded.
------------------------------------------------------------
SLURM JOB NAME: eva-vc__n-50__mu-16__a-0.5__dist-poisson__d-8
SLURM JOB ID: 36737570
Running on nodes: ncm0681
Number of CPUs: 8
Started at Fri Jul 14 18:40:03 CEST 2023
------------------------------------------------------------
Set parameter TSPort to value 50039
Set parameter TokenServer to value "license6.itc.rwth-aachen.de"
Set parameter TimeLimit to value 300
Gurobi Optimizer version 10.0.0 build v10.0.0rc2 (linux64)

CPU model: Intel(R) Xeon(R) Platinum 8160 CPU @ 2.10GHz, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 48 physical cores, 48 logical processors, using up to 32 threads

Optimize a model with 200 rows, 50 columns and 400 nonzeros
Model fingerprint: 0x36d72356
Variable types: 0 continuous, 50 integer (50 binary)
Coefficient statistics:
  Matrix range     [1e+00, 1e+00]
  Objective range  [6e+01, 2e+03]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 1e+00]
Found heuristic solution: objective 36880.000000
Presolve removed 75 rows and 0 columns
Presolve time: 0.00s
Presolved: 125 rows, 50 columns, 319 nonzeros
Variable types: 0 continuous, 50 integer (50 binary)
Found heuristic solution: objective 29996.000000

Root relaxation: objective 2.706600e+04, 53 iterations, 0.00 seconds (0.00 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 27066.0000    0   25 29996.0000 27066.0000  9.77%     -    0s
H    0     0                    29228.000000 27066.0000  7.40%     -    0s
H    0     0                    28909.000000 27066.0000  6.38%     -    0s
H    0     0                    28358.000000 27542.0000  2.88%     -    0s
H    0     0                    27944.000000 27594.0000  1.25%     -    0s
     0     0 27660.5000    0   30 27944.0000 27660.5000  1.01%     -    0s
     0     0     cutoff    0      27944.0000 27944.0000  0.00%     -    0s

Cutting planes:
  Gomory: 1
  Zero half: 4
  RLT: 2
  BQP: 1

Explored 1 nodes (66 simplex iterations) in 0.01 seconds (0.00 work units)
Thread count was 32 (of 48 available processors)

Solution count 6: 27944 28358 28909 ... 36880

Optimal solution found (tolerance 1.00e-04)
Best objective 2.794400000000e+04, best bound 2.794400000000e+04, gap 0.0000%
Vertex cover found by the ILP solver:
[0, 1, 2, 3, 5, 6, 7, 12, 13, 15, 16, 17, 18, 19, 20, 22, 23, 24, 25, 26, 29, 30, 31, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 45]
Number of vertices in the ILP vertex cover:
35
Max mu+1 generations: 40000
Cut-off after 366 same generation fitness values
generation, unique_ind, population_fitness, best_ind_vc_cnt, mean_vc_overlap, std_vc_overlap, avg_node_degree, avg_node_leafes 

0,2,4,34892.0,41.87,0.23,8.38,0.0
1,3,16,34892.0,41.76,0.29,8.36,0.0
2,4,46,34892.0,41.52,0.49,8.36,0.0
3,5,80,34892.0,41.41,0.5,8.35,0.0
4,6,160,34892.0,41.04,0.77,8.35,0.0
5,7,216,34892.0,40.92,0.75,8.35,0.0
6,8,280,34892.0,40.81,0.75,8.36,0.0
7,9,388,34892.0,40.59,0.76,8.35,0.0
8,9,388,34892.0,40.59,0.76,8.35,0.0
9,10,506,34892.0,40.31,0.76,8.35,0.0
10,11,652,34422.0,39.98,0.85,8.34,0.0
11,12,808,34422.0,39.83,0.79,8.33,0.0
12,13,988,34422.0,39.69,0.74,8.32,0.0
13,14,1222,34422.0,39.4,0.73,8.31,0.0
14,15,1420,34422.0,39.33,0.68,8.3,0.0
15,15,1420,34422.0,39.29,0.68,8.28,0.0
16,16,1670,34422.0,39.08,0.68,8.29,0.0
17,16,1802,34422.0,38.93,0.64,8.27,0.0
18,16,1826,34422.0,38.88,0.64,8.27,0.0
19,16,1880,34422.0,38.83,0.57,8.26,0.0
20,16,1960,34422.0,38.79,0.59,8.25,0.0
21,16,1960,34422.0,38.79,0.59,8.25,0.0
22,16,1982,34422.0,38.68,0.62,8.25,0.0
23,16,2038,34422.0,38.44,0.7,8.25,0.0
24,16,2112,34422.0,38.23,0.7,8.25,0.0
25,16,2112,34422.0,38.23,0.7,8.25,0.0
26,16,2128,34422.0,38.19,0.65,8.24,0.0
27,16,2140,34422.0,38.04,0.54,8.25,0.0
28,16,2176,34422.0,38.09,0.6,8.23,0.0
29,16,2176,34422.0,38.09,0.6,8.23,0.0
30,16,2220,34422.0,38.0,0.64,8.23,0.0
31,16,2276,34422.0,37.88,0.69,8.23,0.0
32,16,2330,34422.0,37.71,0.57,8.25,0.0
33,16,2388,34422.0,37.52,0.51,8.24,0.0
34,16,2404,34422.0,37.37,0.42,8.25,0.0
35,16,2484,34422.0,37.08,0.65,8.25,0.0
36,16,2484,34422.0,37.08,0.65,8.25,0.0
37,16,2502,34422.0,36.98,0.57,8.25,0.0
38,16,2502,34422.0,36.98,0.57,8.25,0.0
39,16,2526,34422.0,37.05,0.67,8.24,0.0
40,16,2526,34422.0,37.05,0.67,8.24,0.0
41,16,2556,34422.0,37.05,0.65,8.23,0.0
42,16,2580,34422.0,37.12,0.74,8.21,0.0
43,16,2580,34422.0,37.12,0.74,8.21,0.0
44,16,2580,34422.0,37.12,0.74,8.21,0.0
45,16,2580,34422.0,37.12,0.74,8.21,0.0
46,16,2592,34422.0,36.97,0.67,8.22,0.0
47,16,2658,34422.0,36.65,0.84,8.25,0.0
48,16,2688,34422.0,36.52,0.82,8.24,0.0
49,16,2760,34422.0,36.12,0.85,8.26,0.0
50,16,2760,34422.0,36.12,0.85,8.26,0.0
51,16,2778,34422.0,36.03,0.87,8.24,0.0
