[INFO] Module Python/3.10.4 loaded.
Gurobi shell based on Python 3.10.4 can be launched with command `gurobi.sh`
Gurobi Python Interface can be loaded in Python 3.10.4 with 'import gurobipy'
[INFO] Module Gurobi/10.0.0 loaded.
------------------------------------------------------------
SLURM JOB NAME: eva-vc__n-50__mu-2__a--1__dist-poisson__d-8
SLURM JOB ID: 36737540
Running on nodes: ncm0128
Number of CPUs: 8
Started at Fri Jul 14 18:40:03 CEST 2023
------------------------------------------------------------
Set parameter TSPort to value 50039
Set parameter TokenServer to value "license6.itc.rwth-aachen.de"
Set parameter TimeLimit to value 300
Gurobi Optimizer version 10.0.0 build v10.0.0rc2 (linux64)

CPU model: Intel(R) Xeon(R) Platinum 8160 CPU @ 2.10GHz, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 48 physical cores, 48 logical processors, using up to 32 threads

Optimize a model with 200 rows, 50 columns and 400 nonzeros
Model fingerprint: 0x252c0b07
Variable types: 0 continuous, 50 integer (50 binary)
Coefficient statistics:
  Matrix range     [1e+00, 1e+00]
  Objective range  [1e+00, 1e+00]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 1e+00]
Found heuristic solution: objective 38.0000000
Presolve removed 75 rows and 0 columns
Presolve time: 0.00s
Presolved: 125 rows, 50 columns, 319 nonzeros
Variable types: 0 continuous, 50 integer (50 binary)

Root relaxation: objective 3.200000e+01, 75 iterations, 0.00 seconds (0.00 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0   32.00000    0   24   38.00000   32.00000  15.8%     -    0s
H    0     0                      34.0000000   32.00000  5.88%     -    0s
     0     0   32.00000    0   46   34.00000   32.00000  5.88%     -    0s
     0     0   32.50000    0   44   34.00000   32.50000  4.41%     -    0s
H    0     0                      33.0000000   32.50000  1.52%     -    0s

Cutting planes:
  Gomory: 3
  Clique: 1
  Zero half: 19
  RLT: 8
  BQP: 1

Explored 1 nodes (144 simplex iterations) in 0.02 seconds (0.00 work units)
Thread count was 32 (of 48 available processors)

Solution count 3: 33 34 38 

Optimal solution found (tolerance 1.00e-04)
Best objective 3.300000000000e+01, best bound 3.300000000000e+01, gap 0.0000%
Vertex cover found by the ILP solver:
[0, 1, 2, 3, 5, 6, 7, 8, 10, 11, 13, 15, 16, 17, 19, 20, 22, 23, 24, 25, 26, 27, 29, 34, 35, 37, 38, 39, 40, 41, 42, 45, 48]
Number of vertices in the ILP vertex cover:
33
Max mu+1 generations: 5000
Cut-off after 366 same generation fitness values
generation, unique_ind, population_fitness, best_ind_vc_cnt, mean_vc_overlap, std_vc_overlap, avg_node_degree, avg_node_leafes 

0,2,6,47,47.0,0.0,7.95,0.0
1,2,6,47,46.0,0.0,7.89,0.0
2,2,8,48,46.0,0.0,7.91,0.0
3,2,12,46,44.0,0.0,7.97,0.0
4,2,14,46,43.0,0.0,7.95,0.0
5,2,16,45,42.0,0.0,8.0,0.0
6,2,18,45,41.0,0.0,8.03,0.0
7,2,18,45,41.0,0.0,8.03,0.0
8,2,20,45,40.0,0.0,8.07,0.0
9,2,20,45,40.0,0.0,8.07,0.0
10,2,20,45,40.0,0.0,8.1,0.0
11,2,22,44,39.0,0.0,8.11,0.0
12,2,22,44,39.0,0.0,8.11,0.0
13,2,22,44,39.0,0.0,8.11,0.0
14,2,26,42,37.0,0.0,8.08,0.0
15,2,26,42,37.0,0.0,8.08,0.0
16,2,28,42,36.0,0.0,8.06,0.0
17,2,28,42,36.0,0.0,8.06,0.0
18,2,28,42,36.0,0.0,8.07,0.0
19,2,28,42,36.0,0.0,8.07,0.0
20,2,28,42,36.0,0.0,8.07,0.0
21,2,30,42,35.0,0.0,8.12,0.0
22,2,34,41,33.0,0.0,8.21,0.0
23,2,34,41,33.0,0.0,8.21,0.0
24,2,34,41,33.0,0.0,8.22,0.0
25,2,34,41,33.0,0.0,8.17,0.0
26,2,34,41,33.0,0.0,8.17,0.0
27,2,34,41,33.0,0.0,8.22,0.0
28,2,34,41,33.0,0.0,8.22,0.0
29,2,34,41,33.0,0.0,8.22,0.0
30,2,34,41,33.0,0.0,8.24,0.0
31,2,34,41,33.0,0.0,8.24,0.0
32,2,34,41,33.0,0.0,8.24,0.0
33,2,36,41,32.0,0.0,8.18,0.0
34,2,36,41,32.0,0.0,8.18,0.0
35,2,36,41,32.0,0.0,8.23,0.0
36,2,36,41,32.0,0.0,8.28,0.0
37,2,36,41,32.0,0.0,8.22,0.0
38,2,40,39,30.0,0.0,8.25,0.0
39,2,40,39,30.0,0.0,8.2,0.0
40,2,40,39,30.0,0.0,8.2,0.0
41,2,40,39,30.0,0.0,8.2,0.0
42,2,40,39,30.0,0.0,8.2,0.0
43,2,40,39,30.0,0.0,8.2,0.0
44,2,40,39,30.0,0.0,8.2,0.0
45,2,40,39,30.0,0.0,8.2,0.0
46,2,40,39,30.0,0.0,8.2,0.0
47,2,40,39,30.0,0.0,8.2,0.0
48,2,40,39,30.0,0.0,8.2,0.0
49,2,40,39,30.0,0.0,8.2,0.0
50,2,40,39,30.0,0.0,8.2,0.0
51,2,40,39,30.0,0.0,8.15,0.0
52,2,40,39,30.0,0.0,8.15,0.0
53,2,40,39,30.0,0.0,8.15,0.0
54,2,40,39,30.0,0.0,8.1,0.0
55,2,40,39,30.0,0.0,8.13,0.0
56,2,40,39,30.0,0.0,8.13,0.0
