[INFO] Module Python/3.10.4 loaded.
Gurobi shell based on Python 3.10.4 can be launched with command `gurobi.sh`
Gurobi Python Interface can be loaded in Python 3.10.4 with 'import gurobipy'
[INFO] Module Gurobi/10.0.0 loaded.
------------------------------------------------------------
SLURM JOB NAME: eva-vc__n-50__mu-2__a-0.5__dist-uniform1__d-2
SLURM JOB ID: 36737587
Running on nodes: nrm091
Number of CPUs: 8
Started at Fri Jul 14 18:40:03 CEST 2023
------------------------------------------------------------
Set parameter TSPort to value 50039
Set parameter TokenServer to value "license6.itc.rwth-aachen.de"
Set parameter TimeLimit to value 300
Gurobi Optimizer version 10.0.0 build v10.0.0rc2 (linux64)

CPU model: Intel(R) Xeon(R) Platinum 8160 CPU @ 2.10GHz, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 48 physical cores, 48 logical processors, using up to 32 threads

Optimize a model with 50 rows, 50 columns and 100 nonzeros
Model fingerprint: 0x18113221
Variable types: 0 continuous, 50 integer (50 binary)
Coefficient statistics:
  Matrix range     [1e+00, 1e+00]
  Objective range  [4e+00, 2e+03]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 1e+00]
Found heuristic solution: objective 25791.000000
Presolve removed 50 rows and 50 columns
Presolve time: 0.00s
Presolve: All rows and columns removed

Explored 0 nodes (0 simplex iterations) in 0.00 seconds (0.00 work units)
Thread count was 1 (of 48 available processors)

Solution count 2: 13514 25791 

Optimal solution found (tolerance 1.00e-04)
Best objective 1.351400000000e+04, best bound 1.351400000000e+04, gap 0.0000%
Vertex cover found by the ILP solver:
[0, 1, 4, 5, 7, 12, 16, 23, 25, 26, 28, 30, 32, 34, 35, 37, 41, 42, 43, 48, 49]
Number of vertices in the ILP vertex cover:
21
Max mu+1 generations: 5000
Cut-off after 366 same generation fitness values
generation, unique_ind, population_fitness, best_ind_vc_cnt, mean_vc_overlap, std_vc_overlap, avg_node_degree, avg_node_leafes 

0,2,2,15543.0,23.0,0.0,2.75,0.19
1,2,8,16380.0,22.0,0.0,2.71,0.21
2,2,12,16923.0,21.0,0.0,2.65,0.23
3,2,12,16923.0,21.0,0.0,2.65,0.23
4,2,16,16923.0,20.0,0.0,2.67,0.23
5,2,16,16923.0,20.0,0.0,2.67,0.23
6,2,16,16923.0,20.0,0.0,2.67,0.23
7,2,20,16923.0,19.0,0.0,2.65,0.23
8,2,22,16923.0,18.0,0.0,2.66,0.23
9,2,22,16923.0,18.0,0.0,2.66,0.23
10,2,26,16923.0,17.0,0.0,2.66,0.23
11,2,26,16923.0,17.0,0.0,2.66,0.23
12,2,30,18776.0,16.0,0.0,2.66,0.23
13,2,30,18776.0,16.0,0.0,2.66,0.23
14,2,30,18776.0,16.0,0.0,2.66,0.23
15,2,30,18776.0,16.0,0.0,2.66,0.23
16,2,30,18776.0,16.0,0.0,2.66,0.23
17,2,30,18776.0,16.0,0.0,2.66,0.23
18,2,34,18807.0,15.0,0.0,2.64,0.23
19,2,34,19100.0,15.0,0.0,2.64,0.23
20,2,34,19100.0,15.0,0.0,2.64,0.23
21,2,34,19037.0,15.0,0.0,2.66,0.23
22,2,34,19037.0,15.0,0.0,2.66,0.23
23,2,34,19037.0,15.0,0.0,2.66,0.23
24,2,34,19037.0,15.0,0.0,2.66,0.23
25,2,36,17908.0,14.0,0.0,2.65,0.24
26,2,40,18157.0,13.0,0.0,2.7,0.22
27,2,40,18157.0,13.0,0.0,2.7,0.22
28,2,42,17910.0,12.0,0.0,2.73,0.2
29,2,42,17910.0,12.0,0.0,2.73,0.2
30,2,42,17910.0,12.0,0.0,2.73,0.2
31,2,42,17910.0,12.0,0.0,2.73,0.2
32,2,42,17910.0,12.0,0.0,2.73,0.2
33,2,42,17910.0,12.0,0.0,2.73,0.2
34,2,42,17910.0,12.0,0.0,2.73,0.2
35,2,42,17910.0,12.0,0.0,2.73,0.2
