[INFO] Module Python/3.10.4 loaded.
Gurobi shell based on Python 3.10.4 can be launched with command `gurobi.sh`
Gurobi Python Interface can be loaded in Python 3.10.4 with 'import gurobipy'
[INFO] Module Gurobi/10.0.0 loaded.
------------------------------------------------------------
SLURM JOB NAME: eva-vc__n-50__mu-2__a-0.5__dist-uniform1__d-4
SLURM JOB ID: 36737614
Running on nodes: nrm091
Number of CPUs: 8
Started at Fri Jul 14 18:40:33 CEST 2023
------------------------------------------------------------
Set parameter TSPort to value 50039
Set parameter TokenServer to value "license6.itc.rwth-aachen.de"
Set parameter TimeLimit to value 300
Gurobi Optimizer version 10.0.0 build v10.0.0rc2 (linux64)

CPU model: Intel(R) Xeon(R) Platinum 8160 CPU @ 2.10GHz, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 48 physical cores, 48 logical processors, using up to 32 threads

Optimize a model with 100 rows, 50 columns and 200 nonzeros
Model fingerprint: 0xda14b8cd
Variable types: 0 continuous, 50 integer (50 binary)
Coefficient statistics:
  Matrix range     [1e+00, 1e+00]
  Objective range  [2e+01, 2e+03]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 1e+00]
Found heuristic solution: objective 31086.000000
Presolve removed 45 rows and 17 columns
Presolve time: 0.00s
Presolved: 55 rows, 33 columns, 113 nonzeros
Found heuristic solution: objective 25088.000000
Variable types: 0 continuous, 33 integer (33 binary)

Root relaxation: objective 2.401800e+04, 32 iterations, 0.00 seconds (0.00 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

*    0     0               0    24018.000000 24018.0000  0.00%     -    0s

Explored 1 nodes (32 simplex iterations) in 0.00 seconds (0.00 work units)
Thread count was 32 (of 48 available processors)

Solution count 3: 24018 25088 31086 

Optimal solution found (tolerance 1.00e-04)
Best objective 2.401800000000e+04, best bound 2.401800000000e+04, gap 0.0000%
Vertex cover found by the ILP solver:
[3, 4, 5, 6, 7, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20, 30, 31, 32, 33, 34, 35, 37, 38, 41, 42, 44, 46, 48]
Number of vertices in the ILP vertex cover:
28
Max mu+1 generations: 5000
Cut-off after 366 same generation fitness values
generation, unique_ind, population_fitness, best_ind_vc_cnt, mean_vc_overlap, std_vc_overlap, avg_node_degree, avg_node_leafes 

0,2,2,30403.0,35.0,0.0,4.42,0.06
1,2,4,28811.0,34.0,0.0,4.4,0.06
2,2,12,28811.0,33.0,0.0,4.4,0.06
3,2,14,32344.0,33.0,0.0,4.44,0.05
4,2,18,34636.0,33.0,0.0,4.4,0.05
5,2,18,34636.0,33.0,0.0,4.4,0.05
6,2,18,34636.0,33.0,0.0,4.4,0.05
7,2,20,34546.0,32.0,0.0,4.38,0.05
8,2,20,34546.0,32.0,0.0,4.38,0.05
9,2,20,34546.0,32.0,0.0,4.38,0.05
10,2,20,34546.0,32.0,0.0,4.38,0.05
11,2,20,34881.0,32.0,0.0,4.34,0.05
12,2,20,34881.0,32.0,0.0,4.34,0.05
13,2,22,34336.0,31.0,0.0,4.39,0.04
14,2,24,34336.0,30.0,0.0,4.42,0.04
15,2,28,35130.0,29.0,0.0,4.39,0.04
16,2,28,35130.0,29.0,0.0,4.39,0.04
17,2,28,35130.0,29.0,0.0,4.39,0.04
18,2,32,35288.0,28.0,0.0,4.39,0.04
19,2,32,35288.0,28.0,0.0,4.39,0.04
20,2,32,35288.0,28.0,0.0,4.39,0.04
21,2,32,35288.0,28.0,0.0,4.39,0.04
22,2,34,34870.0,27.0,0.0,4.41,0.04
23,2,36,33850.0,26.0,0.0,4.41,0.04
24,2,36,33850.0,26.0,0.0,4.41,0.04
25,2,36,33850.0,26.0,0.0,4.41,0.04
26,2,36,33850.0,26.0,0.0,4.41,0.04
27,2,36,33850.0,26.0,0.0,4.41,0.04
28,2,38,33850.0,25.0,0.0,4.45,0.04
29,2,38,34596.0,25.0,0.0,4.46,0.04
30,2,38,34596.0,25.0,0.0,4.46,0.04
31,2,40,34000.0,24.0,0.0,4.52,0.03
32,2,40,34000.0,24.0,0.0,4.52,0.03
33,2,40,34000.0,24.0,0.0,4.52,0.03
34,2,40,34000.0,24.0,0.0,4.46,0.03
35,2,40,34000.0,24.0,0.0,4.46,0.03
36,2,40,34000.0,24.0,0.0,4.46,0.03
37,2,40,34000.0,24.0,0.0,4.46,0.03
38,2,40,33211.0,24.0,0.0,4.47,0.03
39,2,42,33211.0,24.0,0.0,4.46,0.03
40,2,42,33211.0,24.0,0.0,4.46,0.03
41,2,42,33211.0,24.0,0.0,4.44,0.03
42,2,42,34201.0,24.0,0.0,4.45,0.03
43,2,44,34201.0,23.0,0.0,4.44,0.03
