[INFO] Module Python/3.10.4 loaded.
Gurobi shell based on Python 3.10.4 can be launched with command `gurobi.sh`
Gurobi Python Interface can be loaded in Python 3.10.4 with 'import gurobipy'
[INFO] Module Gurobi/10.0.0 loaded.
------------------------------------------------------------
SLURM JOB NAME: eva-vc__n-50__mu-32__a-0.05__dist-poisson__d-2
SLURM JOB ID: 36737553
Running on nodes: ncm0601
Number of CPUs: 8
Started at Fri Jul 14 18:40:04 CEST 2023
------------------------------------------------------------
Set parameter TSPort to value 50039
Set parameter TokenServer to value "license6.itc.rwth-aachen.de"
Set parameter TimeLimit to value 300
Gurobi Optimizer version 10.0.0 build v10.0.0rc2 (linux64)

CPU model: Intel(R) Xeon(R) Platinum 8160 CPU @ 2.10GHz, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 48 physical cores, 48 logical processors, using up to 32 threads

Optimize a model with 50 rows, 50 columns and 100 nonzeros
Model fingerprint: 0x18113221
Variable types: 0 continuous, 50 integer (50 binary)
Coefficient statistics:
  Matrix range     [1e+00, 1e+00]
  Objective range  [4e+00, 2e+03]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 1e+00]
Found heuristic solution: objective 25791.000000
Presolve removed 50 rows and 50 columns
Presolve time: 0.00s
Presolve: All rows and columns removed

Explored 0 nodes (0 simplex iterations) in 0.00 seconds (0.00 work units)
Thread count was 1 (of 48 available processors)

Solution count 2: 13514 25791 

Optimal solution found (tolerance 1.00e-04)
Best objective 1.351400000000e+04, best bound 1.351400000000e+04, gap 0.0000%
Vertex cover found by the ILP solver:
[0, 1, 4, 5, 7, 12, 16, 23, 25, 26, 28, 30, 32, 34, 35, 37, 41, 42, 43, 48, 49]
Number of vertices in the ILP vertex cover:
21
Max mu+1 generations: 80000
Cut-off after 366 same generation fitness values
generation, unique_ind, population_fitness, best_ind_vc_cnt, mean_vc_overlap, std_vc_overlap, avg_node_degree, avg_node_leafes 

Heuristic pop: timeout
0,1,0,13514.0,21.0,0.0,2.81,0.19
1,1,0,13514.0,21.0,0.0,2.81,0.19
2,1,0,13514.0,21.0,0.0,2.81,0.19
3,1,0,13514.0,21.0,0.0,2.81,0.19
4,2,4,13514.0,20.94,0.17,2.81,0.19
5,2,4,13514.0,20.94,0.17,2.81,0.19
6,2,4,13514.0,20.94,0.17,2.81,0.19
7,2,4,13514.0,20.94,0.17,2.81,0.19
8,2,4,13514.0,20.94,0.17,2.81,0.19
9,2,4,13514.0,20.94,0.17,2.81,0.19
10,2,4,13514.0,20.94,0.17,2.81,0.19
11,2,4,13514.0,20.94,0.17,2.81,0.19
12,2,4,13514.0,20.94,0.17,2.81,0.19
13,2,4,13514.0,20.94,0.17,2.81,0.19
14,2,4,13514.0,20.94,0.17,2.81,0.19
15,2,4,13514.0,20.94,0.17,2.81,0.19
16,2,4,13514.0,20.94,0.17,2.81,0.19
17,2,4,13514.0,20.94,0.17,2.81,0.19
18,2,4,13514.0,20.94,0.17,2.81,0.19
19,2,4,13514.0,20.94,0.17,2.81,0.19
20,2,4,13514.0,20.94,0.17,2.81,0.19
21,2,4,13514.0,20.94,0.17,2.81,0.19
22,2,4,13514.0,20.94,0.17,2.81,0.19
23,2,4,13514.0,20.94,0.17,2.81,0.19
24,2,4,13514.0,20.94,0.17,2.81,0.19
25,2,4,13514.0,20.94,0.17,2.81,0.19
26,2,4,13514.0,20.94,0.17,2.81,0.19
27,2,4,13514.0,20.94,0.17,2.81,0.19
28,2,4,13514.0,20.94,0.17,2.81,0.19
29,2,4,13514.0,20.94,0.17,2.81,0.19
30,2,4,13514.0,20.94,0.17,2.81,0.19
31,2,4,13514.0,20.94,0.17,2.81,0.19
32,2,4,13514.0,20.94,0.17,2.81,0.19
33,2,4,13514.0,20.94,0.17,2.81,0.19
34,2,4,13514.0,20.94,0.17,2.81,0.19
35,2,4,13514.0,20.94,0.17,2.81,0.19
36,2,4,13514.0,20.94,0.17,2.81,0.19
37,2,4,13514.0,20.94,0.17,2.81,0.19
38,2,4,13514.0,20.94,0.17,2.81,0.19
39,2,4,13514.0,20.94,0.17,2.81,0.19
40,2,4,13514.0,20.94,0.17,2.81,0.19
41,2,4,13514.0,20.94,0.17,2.81,0.19
42,2,4,13514.0,20.94,0.17,2.81,0.19
43,2,4,13514.0,20.94,0.17,2.81,0.19
44,2,4,13514.0,20.94,0.17,2.81,0.19
45,2,4,13514.0,20.94,0.17,2.81,0.19
46,2,4,13514.0,20.94,0.17,2.81,0.19
47,2,4,13514.0,20.94,0.17,2.81,0.19
48,2,4,13514.0,20.94,0.17,2.81,0.19
49,2,4,13514.0,20.94,0.17,2.81,0.19
50,2,4,13514.0,20.94,0.17,2.81,0.19
51,2,4,13514.0,20.94,0.17,2.81,0.19
52,2,4,13514.0,20.94,0.17,2.81,0.19
53,2,4,13514.0,20.94,0.17,2.81,0.19
54,2,4,13514.0,20.94,0.17,2.81,0.19
55,2,4,13514.0,20.94,0.17,2.81,0.19
56,2,4,13514.0,20.94,0.17,2.81,0.19
57,2,4,13514.0,20.94,0.17,2.81,0.19
58,2,4,13514.0,20.94,0.17,2.81,0.19
59,2,4,13514.0,20.94,0.17,2.81,0.19
60,3,16,13514.0,20.87,0.23,2.81,0.19
61,3,16,13514.0,20.87,0.23,2.81,0.19
62,3,16,13514.0,20.87,0.23,2.81,0.19
63,3,16,13514.0,20.87,0.23,2.81,0.19
64,3,16,13514.0,20.87,0.23,2.81,0.19
65,3,16,13514.0,20.87,0.23,2.81,0.19
66,3,16,13514.0,20.87,0.23,2.81,0.19
67,3,16,13514.0,20.87,0.23,2.81,0.19
68,3,16,13514.0,20.87,0.23,2.81,0.19
69,3,16,13514.0,20.87,0.23,2.81,0.19
70,3,16,13514.0,20.87,0.23,2.81,0.19
71,4,36,13514.0,20.81,0.28,2.81,0.19
72,4,36,13514.0,20.81,0.28,2.81,0.19
73,4,36,13514.0,20.81,0.28,2.81,0.19
74,4,36,13514.0,20.81,0.28,2.81,0.19
75,4,36,13514.0,20.81,0.28,2.81,0.19
76,4,36,13514.0,20.81,0.28,2.81,0.19
77,4,36,13514.0,20.81,0.28,2.81,0.19
