[INFO] Module Python/3.10.4 loaded.
Gurobi shell based on Python 3.10.4 can be launched with command `gurobi.sh`
Gurobi Python Interface can be loaded in Python 3.10.4 with 'import gurobipy'
[INFO] Module Gurobi/10.0.0 loaded.
------------------------------------------------------------
SLURM JOB NAME: eva-vc__n-100__mu-32__a--1__dist-uniform1__d-8
SLURM JOB ID: 36736007
Running on nodes: ncm0054
Number of CPUs: 16
Started at Fri Jul 14 16:44:43 CEST 2023
------------------------------------------------------------
Set parameter TSPort to value 50039
Set parameter TokenServer to value "license6.itc.rwth-aachen.de"
Set parameter TimeLimit to value 3600
Gurobi Optimizer version 10.0.0 build v10.0.0rc2 (linux64)

CPU model: Intel(R) Xeon(R) Platinum 8160 CPU @ 2.10GHz, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 48 physical cores, 48 logical processors, using up to 32 threads

Optimize a model with 400 rows, 100 columns and 800 nonzeros
Model fingerprint: 0xa97a9fa5
Variable types: 0 continuous, 100 integer (100 binary)
Coefficient statistics:
  Matrix range     [1e+00, 1e+00]
  Objective range  [1e+00, 1e+00]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 1e+00]
Found heuristic solution: objective 73.0000000
Presolve removed 130 rows and 2 columns
Presolve time: 0.00s
Presolved: 270 rows, 98 columns, 620 nonzeros
Variable types: 0 continuous, 98 integer (98 binary)

Root relaxation: objective 6.142105e+01, 213 iterations, 0.00 seconds (0.00 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0   61.42105    0   97   73.00000   61.42105  15.9%     -    0s
H    0     0                      70.0000000   61.42105  12.3%     -    0s
H    0     0                      69.0000000   61.42105  11.0%     -    0s
H    0     0                      66.0000000   61.42105  6.94%     -    0s
     0     0   63.05263    0   98   66.00000   63.05263  4.47%     -    0s
     0     0   63.16667    0   98   66.00000   63.16667  4.29%     -    0s
     0     0   63.16667    0   98   66.00000   63.16667  4.29%     -    0s
     0     0   63.60000    0   97   66.00000   63.60000  3.64%     -    0s
     0     0   63.71429    0   97   66.00000   63.71429  3.46%     -    0s
     0     0   63.76923    0   97   66.00000   63.76923  3.38%     -    0s
     0     0   63.86598    0   96   66.00000   63.86598  3.23%     -    0s
     0     0   63.97674    0   96   66.00000   63.97674  3.07%     -    0s
     0     0   64.00000    0   96   66.00000   64.00000  3.03%     -    0s
     0     0   64.42857    0   97   66.00000   64.42857  2.38%     -    0s
     0     0   64.42857    0   97   66.00000   64.42857  2.38%     -    0s
     0     2   64.42857    0   97   66.00000   64.42857  2.38%     -    0s

Cutting planes:
  Gomory: 4
  Clique: 1
  Zero half: 19
  RLT: 18
  BQP: 9

Explored 48 nodes (1837 simplex iterations) in 0.19 seconds (0.07 work units)
Thread count was 32 (of 48 available processors)

Solution count 4: 66 69 70 73 

Optimal solution found (tolerance 1.00e-04)
Best objective 6.600000000000e+01, best bound 6.600000000000e+01, gap 0.0000%
Vertex cover found by the ILP solver:
[0, 1, 2, 3, 5, 6, 7, 10, 11, 12, 13, 14, 15, 17, 18, 20, 21, 22, 24, 26, 27, 28, 30, 31, 32, 35, 37, 38, 39, 40, 41, 43, 45, 46, 47, 50, 51, 52, 56, 59, 60, 61, 63, 65, 66, 68, 69, 70, 71, 73, 75, 76, 78, 79, 82, 84, 85, 87, 88, 89, 92, 93, 94, 95, 98, 99]
Number of vertices in the ILP vertex cover:
66
Max mu+1 generations: 320000
Cut-off after 336 same generation fitness values
generation, unique_ind, population_fitness, best_ind_vc_cnt, mean_vc_overlap, std_vc_overlap, avg_node_degree, avg_node_leafes 

0,2,2,99,99.94,0.17,8.0,0.01
1,3,8,99,99.88,0.23,8.0,0.01
2,4,18,99,99.81,0.28,8.0,0.01
3,5,32,99,99.75,0.32,8.0,0.01
4,6,50,99,99.69,0.35,8.0,0.01
5,7,72,99,99.63,0.38,8.0,0.01
6,7,72,99,99.56,0.4,8.0,0.01
7,8,108,98,99.44,0.49,8.0,0.01
8,9,140,98,99.38,0.5,8.0,0.01
9,9,140,98,99.32,0.51,8.0,0.01
10,10,176,98,99.26,0.52,8.0,0.01
11,11,228,98,99.14,0.57,8.0,0.01
12,12,292,98,99.01,0.62,8.0,0.01
13,13,364,98,98.89,0.66,8.01,0.01
14,14,422,98,98.83,0.66,8.01,0.01
15,15,508,98,98.71,0.69,8.01,0.01
16,16,576,98,98.64,0.68,8.01,0.01
17,17,648,98,98.58,0.68,8.01,0.01
18,18,724,98,98.52,0.67,8.01,0.01
19,19,836,98,98.4,0.68,8.01,0.01
20,20,978,97,98.22,0.75,8.01,0.01
21,21,1128,97,98.04,0.79,8.01,0.01
22,22,1290,97,97.87,0.82,8.01,0.01
23,23,1436,97,97.75,0.81,8.01,0.01
24,24,1650,96,97.52,0.89,8.01,0.01
25,25,1836,96,97.35,0.89,8.02,0.01
26,26,2016,96,97.23,0.87,8.02,0.01
27,27,2252,96,97.01,0.9,8.02,0.01
28,28,2436,96,96.9,0.86,8.02,0.01
29,29,2672,96,96.73,0.85,8.02,0.01
30,30,2942,96,96.51,0.84,8.02,0.01
31,31,3184,96,96.41,0.84,8.02,0.01
32,32,3420,96,96.34,0.83,8.02,0.01
33,32,3574,96,96.17,0.79,8.02,0.01
34,32,3668,96,96.09,0.77,8.02,0.01
35,32,3730,96,96.03,0.75,8.02,0.01
36,32,3800,96,95.96,0.74,8.02,0.01
37,32,3850,96,95.9,0.71,8.02,0.01
38,32,3954,96,95.79,0.7,8.02,0.01
39,32,4012,96,95.73,0.68,8.02,0.01
40,32,4084,96,95.63,0.65,8.03,0.01
41,32,4196,96,95.51,0.68,8.03,0.01
42,32,4308,96,95.39,0.66,8.03,0.01
43,32,4460,95,95.19,0.69,8.03,0.01
44,32,4518,95,95.13,0.66,8.03,0.01
45,32,4622,95,95.01,0.66,8.03,0.01
46,32,4766,95,94.82,0.67,8.03,0.01
47,32,4854,95,94.71,0.63,8.03,0.01
48,32,4920,95,94.65,0.62,8.03,0.01
49,32,5006,95,94.57,0.61,8.03,0.01
50,32,5068,95,94.51,0.62,8.03,0.01
51,32,5184,95,94.39,0.67,8.03,0.01
52,32,5250,95,94.32,0.66,8.03,0.01
53,32,5406,94,94.12,0.74,8.03,0.01
54,32,5524,94,94.03,0.76,8.03,0.01
55,32,5624,94,93.92,0.76,8.03,0.01
56,32,5736,94,93.8,0.76,8.03,0.01
57,32,5930,93,93.54,0.86,8.03,0.01
58,32,5958,93,93.47,0.82,8.03,0.01
59,32,6020,93,93.4,0.8,8.03,0.01
60,32,6102,93,93.33,0.8,8.03,0.01
61,32,6168,93,93.27,0.82,8.03,0.01
62,32,6226,93,93.21,0.83,8.03,0.01
63,32,6322,93,93.09,0.84,8.03,0.01
64,32,6460,93,92.99,0.88,8.03,0.01
65,32,6548,93,92.89,0.86,8.03,0.01
66,32,6668,93,92.76,0.87,8.02,0.01
67,32,6712,93,92.68,0.83,8.02,0.01
68,32,6832,93,92.56,0.87,8.03,0.01
69,32,6926,93,92.42,0.83,8.03,0.01
70,32,6988,93,92.35,0.81,8.03,0.01
71,32,7132,93,92.22,0.86,8.03,0.01
72,32,7204,93,92.12,0.82,8.03,0.01
73,32,7332,93,91.93,0.78,8.03,0.01
74,32,7490,93,91.76,0.85,8.03,0.01
75,32,7554,93,91.66,0.8,8.03,0.01
76,32,7584,93,91.68,0.83,8.03,0.01
77,32,7646,93,91.61,0.81,8.03,0.01
78,32,7740,93,91.47,0.77,8.03,0.01
79,32,7810,93,91.41,0.78,8.03,0.01
80,32,7866,93,91.32,0.74,8.04,0.01
81,32,7990,93,91.19,0.8,8.04,0.01
82,32,8056,93,91.06,0.76,8.04,0.01
83,32,8106,93,91.01,0.76,8.04,0.01
84,32,8172,93,90.88,0.72,8.04,0.01
85,32,8226,93,90.89,0.75,8.04,0.01
86,32,8362,93,90.69,0.74,8.04,0.01
