[INFO] Module Python/3.10.4 loaded.
Gurobi shell based on Python 3.10.4 can be launched with command `gurobi.sh`
Gurobi Python Interface can be loaded in Python 3.10.4 with 'import gurobipy'
[INFO] Module Gurobi/10.0.0 loaded.
------------------------------------------------------------
SLURM JOB NAME: eva-vc__n-200__mu-16__a-0.5__dist-uniform1__d-4
SLURM JOB ID: 36736035
Running on nodes: ncm0611
Number of CPUs: 16
Started at Fri Jul 14 16:44:42 CEST 2023
------------------------------------------------------------
Set parameter TSPort to value 50039
Set parameter TokenServer to value "license6.itc.rwth-aachen.de"
Set parameter TimeLimit to value 3600
Gurobi Optimizer version 10.0.0 build v10.0.0rc2 (linux64)

CPU model: Intel(R) Xeon(R) Platinum 8160 CPU @ 2.10GHz, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 48 physical cores, 48 logical processors, using up to 32 threads

Optimize a model with 400 rows, 200 columns and 800 nonzeros
Model fingerprint: 0x80722ef7
Variable types: 0 continuous, 200 integer (200 binary)
Coefficient statistics:
  Matrix range     [1e+00, 1e+00]
  Objective range  [2e+01, 2e+03]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 1e+00]
Found heuristic solution: objective 132587.00000
Presolve removed 152 rows and 63 columns
Presolve time: 0.00s
Presolved: 248 rows, 137 columns, 502 nonzeros
Found heuristic solution: objective 106383.00000
Variable types: 0 continuous, 137 integer (137 binary)
Found heuristic solution: objective 104745.00000

Root relaxation: objective 1.002980e+05, 163 iterations, 0.00 seconds (0.00 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 100298.000    0   83 104745.000 100298.000  4.25%     -    0s
H    0     0                    103308.00000 100298.000  2.91%     -    0s
H    0     0                    100306.00000 100298.000  0.01%     -    0s

Cutting planes:
  Gomory: 1
  Zero half: 8
  RLT: 3

Explored 1 nodes (163 simplex iterations) in 0.02 seconds (0.00 work units)
Thread count was 32 (of 48 available processors)

Solution count 5: 100306 103308 104745 ... 132587

Optimal solution found (tolerance 1.00e-04)
Best objective 1.003060000000e+05, best bound 1.003060000000e+05, gap 0.0000%
Vertex cover found by the ILP solver:
[0, 3, 4, 6, 8, 9, 11, 12, 14, 17, 18, 21, 22, 23, 24, 25, 27, 28, 29, 31, 32, 33, 35, 37, 39, 41, 43, 45, 47, 49, 50, 54, 55, 56, 57, 61, 66, 69, 70, 72, 75, 77, 78, 79, 81, 82, 84, 88, 90, 91, 92, 95, 96, 97, 98, 99, 101, 105, 106, 109, 110, 111, 112, 113, 115, 116, 117, 121, 124, 125, 126, 128, 129, 131, 133, 136, 139, 140, 141, 143, 145, 147, 148, 149, 150, 152, 153, 154, 155, 156, 158, 160, 162, 165, 166, 167, 170, 171, 172, 174, 176, 177, 178, 180, 182, 186, 187, 188, 189, 191, 195, 196, 198]
Number of vertices in the ILP vertex cover:
113
Max mu+1 generations: 640000
Cut-off after 282 same generation fitness values
generation, unique_ind, population_fitness, best_ind_vc_cnt, mean_vc_overlap, std_vc_overlap, avg_node_degree, avg_node_leafes 

0,2,2,128659.0,147.88,0.23,4.3,0.07
1,3,20,128659.0,147.75,0.31,4.3,0.07
2,4,42,128659.0,147.62,0.36,4.3,0.07
3,5,72,128659.0,147.5,0.4,4.3,0.07
4,6,112,128659.0,147.27,0.53,4.3,0.07
5,7,172,128659.0,147.14,0.54,4.3,0.07
6,8,244,128659.0,147.02,0.55,4.3,0.07
7,9,336,128659.0,146.91,0.53,4.3,0.07
8,10,434,128659.0,146.78,0.53,4.3,0.07
9,11,520,128659.0,146.67,0.51,4.3,0.07
10,12,682,128659.0,146.47,0.52,4.3,0.07
11,13,832,128659.0,146.24,0.54,4.3,0.07
12,14,1026,128659.0,146.07,0.51,4.3,0.07
13,14,1026,128659.0,145.97,0.46,4.29,0.07
14,15,1224,128659.0,145.66,0.53,4.29,0.07
15,16,1424,128659.0,145.53,0.54,4.29,0.07
16,16,1468,128659.0,145.44,0.49,4.29,0.07
17,16,1556,129014.0,145.38,0.52,4.29,0.07
18,16,1632,129014.0,145.22,0.51,4.29,0.07
19,16,1746,129014.0,145.17,0.53,4.28,0.07
20,16,1776,129014.0,145.05,0.54,4.28,0.07
21,16,1854,129014.0,144.83,0.53,4.28,0.07
22,16,1984,129014.0,144.62,0.55,4.28,0.07
23,16,2058,129014.0,144.53,0.64,4.29,0.07
24,16,2164,129014.0,144.24,0.55,4.28,0.07
25,16,2354,129127.0,144.03,0.61,4.28,0.07
26,16,2458,129127.0,143.82,0.57,4.28,0.07
27,16,2552,129127.0,143.81,0.63,4.28,0.07
28,16,2804,129127.0,143.53,0.73,4.28,0.07
29,16,2852,129127.0,143.31,0.66,4.28,0.07
30,16,2926,129127.0,143.22,0.7,4.28,0.07
31,16,2958,129296.0,143.15,0.77,4.28,0.07
32,16,3102,129296.0,142.97,0.68,4.27,0.07
33,16,3188,129296.0,142.73,0.72,4.27,0.07
34,16,3246,129296.0,142.55,0.58,4.27,0.07
35,16,3340,129296.0,142.29,0.59,4.27,0.07
36,16,3398,129296.0,142.11,0.58,4.27,0.07
37,16,3514,129296.0,141.99,0.5,4.27,0.07
38,16,3606,129296.0,142.05,0.52,4.27,0.07
39,16,3732,129296.0,141.85,0.59,4.27,0.07
40,16,3808,132214.0,141.94,0.85,4.27,0.07
41,16,3896,132214.0,141.76,0.85,4.27,0.07
42,16,3988,132292.0,141.44,0.76,4.27,0.07
43,16,4000,132292.0,141.29,0.73,4.27,0.07
44,16,4030,131122.0,141.17,0.78,4.27,0.07
45,16,4090,131122.0,141.04,0.81,4.27,0.07
46,16,4174,131122.0,140.87,0.73,4.27,0.07
47,16,4196,131122.0,140.76,0.76,4.27,0.07
48,16,4266,131122.0,140.55,0.82,4.27,0.07
49,16,4310,131122.0,140.46,0.77,4.27,0.07
50,16,4350,131122.0,140.5,0.84,4.27,0.07
51,16,4350,131122.0,140.5,0.84,4.27,0.07
52,16,4416,131122.0,140.43,0.82,4.27,0.07
53,16,4486,131122.0,140.34,0.83,4.27,0.07
54,16,4512,130832.0,140.22,0.9,4.27,0.07
55,16,4602,130832.0,140.22,1.21,4.27,0.07
56,16,4696,130832.0,139.97,1.14,4.27,0.07
57,16,4746,130832.0,140.05,1.19,4.26,0.07
58,16,4804,130832.0,139.99,1.22,4.26,0.07
59,16,4878,130832.0,139.9,1.21,4.26,0.07
60,16,4908,130832.0,139.77,1.17,4.26,0.07
61,16,4974,130832.0,139.58,1.11,4.26,0.07
62,16,5010,130832.0,139.5,1.16,4.26,0.07
63,16,5074,130832.0,139.37,1.22,4.26,0.07
64,16,5166,130832.0,139.05,1.11,4.26,0.07
65,16,5264,130832.0,138.78,1.18,4.26,0.07
66,16,5316,130832.0,138.68,1.13,4.26,0.07
67,16,5406,130832.0,138.55,1.06,4.26,0.07
68,16,5440,130832.0,138.29,1.16,4.27,0.07
69,16,5568,130832.0,138.15,1.19,4.26,0.07
70,16,5598,130832.0,138.15,1.17,4.26,0.07
71,16,5628,130832.0,138.02,1.2,4.26,0.07
72,16,5674,130832.0,137.87,0.97,4.26,0.07
73,16,5816,130832.0,137.88,0.98,4.26,0.07
74,16,5906,130832.0,137.76,0.91,4.25,0.07
75,16,5962,130832.0,137.64,0.94,4.25,0.07
76,16,5984,130832.0,137.78,1.06,4.25,0.07
77,16,6018,130832.0,137.78,1.05,4.25,0.07
78,16,6100,130832.0,137.79,1.06,4.25,0.07
79,16,6226,130832.0,137.84,1.12,4.25,0.07
80,16,6270,130832.0,137.75,1.12,4.25,0.07
81,16,6336,130832.0,137.42,1.01,4.25,0.07
82,16,6384,130832.0,137.2,0.97,4.25,0.07
83,16,6428,130832.0,137.11,0.93,4.25,0.07
84,16,6506,131427.0,137.01,0.95,4.24,0.07
85,16,6586,131427.0,137.09,0.94,4.24,0.07
86,16,6686,131427.0,137.26,1.1,4.24,0.07
87,16,6746,131829.0,137.51,1.0,4.24,0.07
88,16,6808,131829.0,137.44,1.03,4.24,0.07
89,16,6848,131829.0,137.36,1.07,4.23,0.07
90,16,6892,131829.0,137.27,1.08,4.23,0.07
91,16,7038,131829.0,137.02,1.03,4.23,0.07
92,16,7054,131829.0,136.99,0.99,4.23,0.07
93,16,7136,131829.0,136.88,0.96,4.23,0.07
94,16,7210,131829.0,136.92,0.98,4.23,0.07
95,16,7240,131829.0,136.79,0.91,4.23,0.07
96,16,7260,131829.0,136.75,0.95,4.23,0.07
97,16,7320,131829.0,136.62,1.07,4.23,0.07
98,16,7360,131829.0,136.67,1.08,4.23,0.07
99,16,7420,131829.0,136.54,1.06,4.23,0.07
100,16,7454,131829.0,136.53,1.1,4.23,0.07
101,16,7518,131829.0,136.53,1.1,4.23,0.07
102,16,7552,131829.0,136.52,1.1,4.23,0.07
103,16,7694,131829.0,136.28,1.07,4.23,0.07
104,16,7706,131829.0,136.26,1.05,4.23,0.07
105,16,7772,131829.0,136.18,1.04,4.23,0.07
106,16,7838,131829.0,136.23,1.11,4.23,0.07
107,16,7838,131829.0,136.23,1.11,4.23,0.07
108,16,7868,131829.0,136.11,1.11,4.23,0.07
109,16,7868,131829.0,136.11,1.11,4.23,0.07
110,16,7904,131829.0,136.03,1.14,4.23,0.07
111,16,7908,131829.0,136.02,1.14,4.23,0.07
112,16,7986,131829.0,135.8,1.12,4.23,0.07
113,16,8030,131829.0,135.71,1.11,4.23,0.07
114,16,8030,131829.0,135.71,1.11,4.23,0.07
115,16,8030,131829.0,135.71,1.11,4.23,0.07
116,16,8082,131829.0,135.6,0.87,4.23,0.07
117,16,8122,131829.0,135.52,0.87,4.22,0.07
118,16,8148,131829.0,135.4,0.82,4.22,0.07
119,16,8218,131829.0,135.19,0.75,4.23,0.07
120,16,8312,131829.0,135.18,0.82,4.23,0.07
121,16,8342,131829.0,135.06,0.83,4.23,0.07
122,16,8342,131829.0,135.06,0.83,4.23,0.07
123,16,8416,131829.0,135.09,1.1,4.23,0.07
124,16,8434,131829.0,134.99,1.12,4.23,0.07
125,16,8536,131829.0,134.84,1.05,4.22,0.07
126,16,8604,135542.0,134.82,0.95,4.22,0.07
127,16,8620,135542.0,134.79,0.92,4.22,0.07
128,16,8656,135542.0,134.84,0.96,4.22,0.07
129,16,8736,135542.0,134.67,0.93,4.22,0.07
130,16,8736,135542.0,134.67,0.93,4.22,0.07
131,16,8764,135542.0,134.62,0.91,4.22,0.07
132,16,8792,135542.0,134.56,0.94,4.22,0.07
133,16,8792,135542.0,134.56,0.94,4.22,0.07
134,16,8822,135079.0,134.43,1.06,4.22,0.07
135,16,8920,135079.0,134.29,1.05,4.22,0.07
136,16,8960,135079.0,134.21,1.08,4.22,0.07
137,16,8960,135079.0,134.21,1.08,4.22,0.07
138,16,9062,135079.0,133.93,1.01,4.22,0.07
139,16,9104,135079.0,133.78,0.98,4.22,0.07
140,16,9104,135079.0,133.78,0.98,4.22,0.07
141,16,9162,136315.0,133.72,1.04,4.21,0.07
142,16,9170,136315.0,133.71,1.06,4.22,0.07
143,16,9210,136315.0,133.62,1.08,4.22,0.07
144,16,9258,135958.0,133.53,1.17,4.22,0.07
145,16,9258,135958.0,133.52,1.2,4.22,0.07
146,16,9328,135958.0,133.32,1.19,4.22,0.07
147,16,9374,135958.0,133.16,1.24,4.22,0.07
148,16,9374,135958.0,133.16,1.24,4.22,0.07
149,16,9426,135958.0,132.93,1.2,4.21,0.07
150,16,9484,135958.0,132.74,1.14,4.21,0.07
151,16,9484,135958.0,132.74,1.14,4.21,0.07
152,16,9492,135958.0,132.72,1.13,4.21,0.07
153,16,9628,135958.0,132.32,0.99,4.21,0.07
154,16,9652,135958.0,132.39,0.95,4.21,0.07
155,16,9656,135958.0,132.38,0.95,4.21,0.07
156,16,9696,135958.0,132.3,0.96,4.21,0.07
157,16,9696,135958.0,132.3,0.96,4.21,0.07
158,16,9696,135958.0,132.3,0.96,4.21,0.07
159,16,9696,135958.0,132.3,0.96,4.21,0.07
160,16,9724,135958.0,132.24,0.95,4.21,0.07
161,16,9754,135958.0,132.12,0.93,4.21,0.07
162,16,9798,135958.0,132.15,0.87,4.21,0.07
163,16,9812,135958.0,132.06,0.86,4.21,0.07
164,16,9842,135958.0,131.93,0.87,4.21,0.07
165,16,9898,135958.0,131.94,0.87,4.21,0.07
166,16,9920,135958.0,131.83,0.84,4.21,0.07
167,16,9970,135958.0,131.79,0.85,4.21,0.07
168,16,9988,135958.0,131.82,0.86,4.21,0.07
169,16,9988,135958.0,131.82,0.86,4.21,0.07
170,16,10018,135958.0,131.69,0.81,4.21,0.07
171,16,10068,135958.0,131.53,0.78,4.2,0.08
172,16,10090,135958.0,131.42,0.8,4.2,0.08
173,16,10090,135958.0,131.42,0.8,4.2,0.08
174,16,10124,135958.0,131.28,0.82,4.21,0.08
175,16,10146,135958.0,131.3,0.84,4.21,0.08
176,16,10206,136857.0,131.18,0.99,4.21,0.08
177,16,10212,136857.0,131.35,1.13,4.21,0.08
178,16,10212,136857.0,131.35,1.13,4.21,0.08
179,16,10238,136857.0,131.23,1.14,4.21,0.08
180,16,10238,136857.0,131.23,1.14,4.21,0.08
181,16,10252,136857.0,131.14,1.11,4.21,0.08
